Name,Mean,Length,Standard_Deviation
Bata,25.02191780821918,365,37.114458567699
Aconibe,25.4027397260274,365,36.896566044550454
Añisoc,25.731506849315068,365,38.39756201020533
Evinayong,25.389041095890413,365,38.30096103019112
Mengomeyén,25.65205479452055,365,37.031572917501656
Micomeseng,25.112328767123287,365,36.96078983120573
Malabo,25.21095890410959,365,32.10400150354337
Luba,24.96986301369863,365,33.02016818323788
Ebebiyín,24.002739726027396,365,35.689018429053554
Mongomo,23.676712328767124,365,34.384296027944906
