Control,Bata,Aconibe,Añisoc,Evinayong,Mengomeyén,Micomeseng,Malabo,Luba,Ebebiyín,Mongomo
0,5,0,0,0,0,-4,1,-20,-18,-18
0,-4,-4,-5,0,0,-4,-2,-12,-6,-6
0,-2,17,17,-2,6,17,0,40,9,9
0,-1,-1,-3,-1,-1,-1,-1,-2,1,1
0,1,1,0,1,1,1,18,18,1,0
0,-1,-1,1,2,0,1,2,2,1,0
0,0,0,1,4,0,4,1,1,1,0
0,-1,0,-1,0,-1,-4,-4,-4,-1,-1
0,2,0,-1,0,0,0,0,3,2,1
0,1,1,0,0,1,1,1,1,1,1
0,1,1,0,0,0,0,2,23,1,1
0,-2,0,0,0,-1,0,-1,-1,2,0
0,-3,-2,-3,-3,-3,-3,-2,-2,-3,-3
0,0,0,0,-1,1,0,-1,40,0,0
0,0,-1,0,0,0,0,-1,-1,-1,-1
0,0,0,0,0,0,2,0,36,1,2
0,1,0,1,1,1,2,2,4,2,4
0,1,1,1,1,1,1,4,1,2,1
0,1,-3,0,0,1,0,-1,-1,-4,-4
0,0,0,0,0,0,0,-1,-1,2,1
0,0,7,2,2,2,7,6,6,-2,-2
0,0,3,0,0,3,1,-32,-32,-45,-45
0,-37,-3,-1,-37,-3,-6,29,-33,-23,-16
0,28,29,22,0,28,28,-22,-19,33,-45
0,0,0,-109,-109,-109,0,-115,-96,-43,-23
0,0,0,0,2,0,0,-95,-95,16,11
0,25,25,25,0,0,0,-73,-73,-66,-4
0,-1,21,-1,-1,29,29,28,37,0,22
0,-3,-2,-3,-3,-2,-3,0,-3,-36,-36
0,-23,7,-23,-23,-23,-22,-16,-19,-12,0
0,-3,-1,-1,9,-3,-1,0,1,11,4
0,0,0,1,0,0,0,-2,-2,3,2
0,2,0,0,2,0,2,18,2,1,2
0,0,2,-1,0,0,-1,6,-1,0,0
0,0,0,0,0,1,0,3,1,0,0
0,-1,0,0,0,0,-1,-2,2,-2,-1
0,-1,1,-1,-1,-1,0,-1,-1,1,-1
0,0,0,0,0,0,0,10,0,0,1
0,0,2,0,0,3,0,26,0,1,1
0,3,0,3,3,0,3,0,1,3,0
0,0,0,1,0,1,0,5,1,0,0
0,2,0,2,0,0,0,11,0,1,-1
0,0,-1,-1,0,0,0,-1,0,-1,0
0,0,1,0,3,0,0,0,1,0,0
0,-2,0,-5,-5,-1,-5,-2,-2,-5,-5
0,0,-2,-2,-1,-2,-2,1,-2,-2,-2
0,0,0,-1,-3,-3,0,-2,-3,-3,-3
0,0,0,-1,0,0,-1,1,0,-1,-1
0,2,0,0,2,0,1,2,2,0,0
0,11,-7,5,-7,0,11,-2,0,-6,-6
0,-5,0,-4,-5,-5,0,1,-1,-5,4
0,-1,-1,0,2,0,0,-4,-4,2,2
0,0,0,-66,0,0,0,-70,12,13,26
0,-24,-3,-24,0,-3,-3,8,-71,-20,-20
0,1,1,0,1,0,0,28,21,-77,-91
0,25,29,-1,-3,-3,-1,-13,-11,-15,-6
0,-19,-19,-19,-13,-12,-19,34,36,41,41
0,0,0,0,0,0,-2,-25,-25,16,16
0,-29,-2,-32,-2,0,-2,-21,-24,-44,-44
0,2,-3,-5,-2,-3,-2,-5,1,-5,-5
0,-3,-3,5,-6,0,-1,-8,-2,-24,-24
0,0,-3,1,3,1,0,33,-4,1,1
0,0,0,1,0,0,-1,19,0,1,1
0,0,0,0,0,0,0,-1,-1,-1,-1
0,-1,-3,-1,0,0,-1,0,0,-2,-2
0,0,1,1,1,1,1,0,1,-1,1
0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,-1,-1
0,1,0,0,1,0,0,0,0,1,0
0,0,0,-1,0,-1,1,0,-1,-1,0
0,-1,-1,0,-1,0,1,-1,15,0,0
0,0,0,0,0,0,0,0,0,4,0
0,1,3,3,3,3,3,1,0,0,1
0,0,0,-1,1,-1,1,-1,-1,-1,-1
0,0,1,0,1,0,0,0,0,0,0
0,-1,-1,-1,0,-1,0,-1,-1,-1,-1
0,-1,-1,2,2,-1,2,0,0,-1,-1
0,2,2,-2,2,2,-3,-1,-1,-2,-1
0,0,0,0,0,0,0,11,1,0,0
0,1,0,0,0,3,-1,4,3,-4,0
0,-14,-11,0,0,0,0,40,-6,20,-16
0,-2,-28,0,0,-28,0,-70,-70,-60,-60
0,8,0,-23,-7,-7,-21,-19,-32,47,-1
0,69,3,0,0,0,69,-17,-19,63,77
0,0,0,0,33,0,77,22,3,72,70
0,-36,0,13,-13,-36,-36,28,-30,-26,8
0,-57,-12,-62,-57,-57,-57,-53,-53,-4,-4
0,32,25,32,32,32,32,18,0,-12,29
0,5,0,0,0,0,0,-30,-14,-25,-30
0,0,0,0,28,0,0,4,4,13,8
0,2,2,0,2,-1,-1,4,9,3,0
0,-1,0,0,0,0,0,0,1,-1,-1
0,0,4,4,0,0,3,-1,39,-10,-11
0,-1,-1,-1,-1,-1,-1,0,-2,-4,-4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,2,24,1,1,1
0,0,-1,0,-1,0,-1,2,2,3,1
0,0,0,0,0,2,0,3,1,3,-2
0,-3,0,-3,1,-3,-3,-1,-1,3,3
0,-3,1,-3,-3,-3,-3,-2,-2,-2,-2
0,0,0,1,0,0,-1,1,0,1,0
0,0,2,0,0,0,0,3,4,1,0
0,-2,-2,-2,-2,-2,-2,0,0,-3,-3
0,2,0,0,0,6,9,-1,-1,9,5
0,1,0,1,0,-1,1,-3,10,1,1
0,1,1,1,1,1,1,1,0,0,2
0,0,-2,0,-2,0,0,27,2,1,1
0,4,0,-1,0,0,0,2,2,-2,-2
0,0,0,0,3,0,0,-4,-4,-12,-12
0,0,0,0,-8,0,0,20,1,-6,-8
0,-2,-2,-2,-2,-2,-2,-40,-41,-10,-10
0,-1,-1,-1,-1,-1,-1,64,66,36,19
0,0,0,0,-2,0,0,0,-33,-16,-16
0,0,3,-29,0,0,0,-74,-24,3,-20
0,-76,6,6,-30,6,6,-13,-101,-30,-30
0,-68,-64,-64,-64,-64,-64,-63,-67,5,2
0,-13,-8,-13,-12,-12,-13,17,17,26,-39
0,10,0,10,12,-7,10,-9,0,0,9
0,6,0,0,0,-14,3,-7,0,9,7
0,0,-3,0,5,6,1,27,-6,11,11
0,-1,-1,2,-1,-3,-1,-3,-4,1,1
0,1,-1,-1,0,2,-1,40,-3,2,1
0,0,0,0,0,1,2,0,0,1,1
0,-4,-4,0,-2,-2,-2,2,2,-1,-4
0,0,10,4,0,0,0,4,4,0,0
0,0,-2,0,2,0,0,0,0,-1,1
0,2,2,2,2,1,0,1,1,2,2
0,2,2,1,2,2,2,1,1,1,2
0,0,-1,-1,0,0,-1,-1,-1,-1,1
0,-4,0,0,0,0,-4,1,1,-4,-2
0,0,-2,-1,0,-1,-1,-5,-5,-4,0
0,0,0,1,1,0,0,-1,4,2,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0
0,-1,-1,0,0,-1,2,1,3,-4,-4
0,0,0,0,0,0,0,-2,-2,1,0
0,2,-1,-1,-2,2,-1,2,0,0,3
0,1,0,1,0,0,0,4,3,3,3
0,0,4,0,0,0,0,13,13,5,4
0,0,0,-16,0,0,-16,-52,33,-28,-14
0,-74,-20,0,-74,0,0,29,6,-74,-74
0,0,0,-28,0,-2,0,24,-23,-36,-36
0,-6,0,0,0,-25,0,-31,-59,-28,39
0,62,55,55,55,56,55,63,63,59,58
0,-17,-17,-30,-17,-39,0,-9,-77,-18,-50
0,28,28,28,30,31,28,-48,-48,6,-4
0,11,0,0,0,11,0,-20,-21,19,19
0,0,0,14,0,0,1,-1,-1,31,31
0,0,0,2,2,0,-1,3,0,24,24
0,9,1,1,0,0,6,2,2,10,6
0,10,-1,-1,3,4,0,12,4,5,-1
0,0,0,-9,0,0,-9,-2,-10,-4,1
0,0,0,-2,2,2,2,40,-2,3,2
0,-2,0,0,0,0,0,-2,-2,-2,-2
0,0,-2,0,0,-1,0,0,41,1,1
0,0,0,0,-1,-1,0,1,1,2,1
0,2,0,3,7,-2,3,3,3,-2,-2
0,3,3,0,0,3,3,25,4,5,4
