analyst,analytics,business,center,data,engineer,lead,manager,principal,project,science,scientist,senior,software,sr,sr.,systems,Salary,Date
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,115500.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,62500.0,2023-01-23
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,175000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,89500.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,122000.0,2023-01-23
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,175000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,89000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,112500.0,2023-01-23
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,82500.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,95000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29000.0,2023-01-23
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151000.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,87500.0,2023-01-23
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,83500.0,2023-01-23
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,101000.0,2023-01-23
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,94000.0,2023-01-23
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,62500.0,2023-01-23
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,116000.0,2023-01-23
