,0
CDSCode,7616480730465.0
Year,16.0
CDSCode,7616480730861.0
Year,16.0
CDSCode,7616970737023.0
Year,16.0
CDSCode,7616970737619.0
Year,16.0
CDSCode,7617210107797.0
Year,16.0
CDSCode,7617210730457.0
Year,16.0
CDSCode,7617210730572.0
Year,16.0
CDSCode,7617210733980.0
Year,16.0
CDSCode,7617210733998.0
Year,16.0
CDSCode,7617390730440.0
Year,16.0
CDSCode,7617390730549.0
Year,16.0
CDSCode,7617540138115.0
Year,16.0
CDSCode,7617540140442.0
Year,16.0
CDSCode,7617540730044.0
Year,16.0
CDSCode,7617540730358.0
Year,16.0
CDSCode,7617540730655.0
Year,16.0
CDSCode,7617540731646.0
Year,16.0
CDSCode,7617540731836.0
Year,16.0
CDSCode,7617540734566.0
Year,16.0
CDSCode,7617540734764.0
Year,16.0
CDSCode,7617540737809.0
Year,16.0
CDSCode,7617880730184.0
Year,16.0
CDSCode,7617880735407.0
Year,16.0
CDSCode,7617960101477.0
Year,16.0
CDSCode,7617960133637.0
Year,16.0
CDSCode,7617960730291.0
Year,16.0
CDSCode,7617960730325.0
Year,16.0
CDSCode,7617960730598.0
Year,16.0
CDSCode,7617960732164.0
Year,16.0
CDSCode,7617960732941.0
Year,16.0
CDSCode,7617960733253.0
Year,16.0
CDSCode,7617960733659.0
Year,16.0
CDSCode,7617960735316.0
Year,16.0
CDSCode,7617960735902.0
Year,16.0
CDSCode,7618040113118.0
Year,16.0
CDSCode,7618040730051.0
Year,16.0
CDSCode,7618040734368.0
Year,16.0
CDSCode,7618040736504.0
Year,16.0
CDSCode,7618040736819.0
Year,16.0
CDSCode,7743440790022.0
Year,16.0
CDSCode,7773540132233.0
Year,16.0
CDSCode,8100820106625.0
Year,16.0
CDSCode,8100820830042.0
Year,16.0
CDSCode,8618200833004.0
Year,16.0
CDSCode,8618200836205.0
Year,16.0
CDSCode,8743510890012.0
Year,16.0
CDSCode,9100900106047.0
Year,16.0
CDSCode,9100900930016.0
Year,16.0
CDSCode,9100900930123.0
Year,16.0
CDSCode,9100900930131.0
Year,16.0
CDSCode,9618530930081.0
Year,16.0
CDSCode,9618530930164.0
Year,16.0
CDSCode,9618530930214.0
Year,16.0
CDSCode,9618530932756.0
Year,16.0
CDSCode,9618530934554.0
Year,16.0
CDSCode,9618530936302.0
Year,16.0
CDSCode,9619030930040.0
Year,16.0
CDSCode,9619030937805.0
Year,16.0
CDSCode,9737830930073.0
Year,16.0
CDSCode,9737830930099.0
Year,16.0
CDSCode,9743770990010.0
Year,16.0
CDSCode,10101080109991.0
Year,16.0
CDSCode,10101080136291.0
Year,16.0
CDSCode,10101081030337.0
Year,16.0
CDSCode,10101081030899.0
Year,16.0
CDSCode,10621170110270.0
Year,16.0
CDSCode,10621170113555.0
Year,16.0
CDSCode,10621170118018.0
Year,16.0
CDSCode,10621171030196.0
Year,16.0
CDSCode,10621171030501.0
Year,16.0
CDSCode,10621171030683.0
Year,16.0
CDSCode,10621171031004.0
Year,16.0
CDSCode,10621171031053.0
Year,16.0
CDSCode,10621251030113.0
Year,16.0
CDSCode,10621251030477.0
Year,16.0
CDSCode,10621251030873.0
Year,16.0
CDSCode,10621251031376.0
Year,16.0
CDSCode,10621580108977.0
Year,16.0
CDSCode,10621580120246.0
Year,16.0
CDSCode,10621581031954.0
Year,16.0
CDSCode,10621581032150.0
Year,16.0
CDSCode,10621660108555.0
Year,16.0
CDSCode,10621660114553.0
Year,16.0
CDSCode,10621660120964.0
Year,16.0
CDSCode,10621660132134.0
Year,16.0
CDSCode,10621660140806.0
Year,16.0
CDSCode,10621661030279.0
Year,16.0
CDSCode,10621661030295.0
Year,16.0
CDSCode,10621661030584.0
Year,16.0
CDSCode,10621661030642.0
Year,16.0
CDSCode,10621661030675.0
Year,16.0
CDSCode,10621661030717.0
Year,16.0
CDSCode,10621661030840.0
Year,16.0
CDSCode,10621661031632.0
Year,16.0
CDSCode,10621661031897.0
Year,16.0
CDSCode,10621661032507.0
Year,16.0
CDSCode,10621661032911.0
Year,16.0
CDSCode,10621661034214.0
Year,16.0
CDSCode,10621661035831.0
Year,16.0
CDSCode,10621666112619.0
Year,16.0
CDSCode,10622570124727.0
Year,16.0
CDSCode,10622571033695.0
Year,16.0
CDSCode,10622571033729.0
Year,16.0
CDSCode,10622650108092.0
Year,16.0
CDSCode,10622650116640.0
Year,16.0
CDSCode,10622650126292.0
Year,16.0
CDSCode,10622651035310.0
Year,16.0
CDSCode,10622811033950.0
Year,16.0
CDSCode,10623640126870.0
Year,16.0
CDSCode,10623641034990.0
Year,16.0
CDSCode,10623800136499.0
Year,16.0
CDSCode,10624140141291.0
Year,16.0
CDSCode,10624141030824.0
Year,16.0
CDSCode,10624141036086.0
Year,16.0
CDSCode,10624141036094.0
Year,16.0
CDSCode,10624301036607.0
Year,16.0
CDSCode,10624301036672.0
Year,16.0
CDSCode,10625470136523.0
Year,16.0
CDSCode,10738090123950.0
Year,16.0
CDSCode,10738091030121.0
Year,16.0
CDSCode,10738091030147.0
Year,16.0
CDSCode,10739650114751.0
Year,16.0
CDSCode,10739650140509.0
Year,16.0
CDSCode,10739651030626.0
Year,16.0
CDSCode,10739651030790.0
Year,16.0
CDSCode,10739651035112.0
Year,16.0
