,,,DATA AS OF: FEBRUARY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,NCSC ELA # of Test Takers,NCSC ELA - # Level 1,NCSC ELA - # Level 2,NCSC ELA - # Level 3,NCSC ELA - # Level 4,NCSC ELA - # Proficient,NCSC ELA - % Level 1,NCSC ELA - % Level 2,NCSC ELA - % Level 3,NCSC ELA - % Level 4,NCSC ELA - % Proficient,NCSC Math - # Test Takers,NCSC Math - # Level 1,NCSC Math - # Level 2,NCSC Math - # Level 3,NCSC Math - # Level 4,NCSC Math - # Proficient,NCSC Math - % Level 1,NCSC Math - % Level 2,NCSC Math - % Level 3,NCSC Math - % Level 4,NCSC Math - % Proficient,ELA - # of All (PARCC & NCSC) Test Takers,ELA - # of All (PARCC & NCSC)  Proficient,ELA - % of All (PARCC & NCSC) Proficient,Math - # of All (PARCC & NCSC) Test Takers,Math - # All (PARCC & NCSC) All Proficient,Math - % All (PARCC & NCSC) Proficient
433,Jefferson MS Academy,6,86,36,29,11,10,0,10,0.418604651162791,0.337209302325581,0.127906976744186,0.116279069767442,0,0.116279069767442,87,20,36,21,10,0,10,0.229885057471264,0.41379310344827602,0.24137931034482801,0.114942528735632,0,0.114942528735632,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,86,10,0.116279069767442,87,10,0.114942528735632
433,Jefferson MS Academy,7,79,20,17,26,13,3,16,0.253164556962025,0.215189873417722,0.329113924050633,0.164556962025316,3.7974683544303799E-2,0.20253164556962,79,21,29,23,6,0,6,0.265822784810127,0.367088607594937,0.291139240506329,7.5949367088607597E-2,0,7.5949367088607597E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,79,16,0.20253164556962,79,6,7.5949367088607597E-2
433,Jefferson MS Academy,8,90,34,20,20,16,0,16,0.37777777777777799,0.22222222222222199,0.22222222222222199,0.17777777777777801,0,0.17777777777777801,90,31,30,22,7,0,7,0.344444444444444,0.33333333333333298,0.24444444444444399,7.7777777777777807E-2,0,7.7777777777777807E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,90,16,0.17777777777777801,90,7,7.7777777777777807E-2
433,Jefferson MS Academy,All,255,90,66,57,39,3,42,0.35294117647058798,0.25882352941176501,0.223529411764706,0.152941176470588,1.1764705882352899E-2,0.16470588235294101,256,72,95,66,23,0,23,0.28125,0.37109375,0.2578125,8.984375E-2,0,8.984375E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,255,42,0.16470588235294101,256,23,8.984375E-2
435,McKinley MS,6,56,17,21,11,5,2,7,0.30357142857142899,0.375,0.19642857142857101,8.9285714285714302E-2,3.5714285714285698E-2,0.125,56,24,20,9,3,0,3,0.42857142857142899,0.35714285714285698,0.160714285714286,5.3571428571428603E-2,0,5.3571428571428603E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,57,8,0.140350877192982,57,4,7.0175438596491196E-2
435,McKinley MS,7,61,20,16,22,3,0,3,0.32786885245901598,0.26229508196721302,0.36065573770491799,4.91803278688525E-2,0,4.91803278688525E-2,60,21,27,12,0,0,0,0.35,0.45,0.2,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,68,10,0.14705882352941199,67,6,8.9552238805970102E-2
435,McKinley MS,8,58,16,16,15,9,2,11,0.27586206896551702,0.27586206896551702,0.25862068965517199,0.15517241379310301,3.4482758620689703E-2,0.18965517241379301,58,23,18,9,8,0,8,0.39655172413793099,0.31034482758620702,0.15517241379310301,0.13793103448275901,0,0.13793103448275901,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,61,14,0.22950819672131101,61,11,0.18032786885245899
435,McKinley MS,All,175,53,53,48,17,4,21,0.30285714285714299,0.30285714285714299,0.27428571428571402,9.71428571428571E-2,2.2857142857142899E-2,0.12,174,68,65,30,11,0,11,0.390804597701149,0.37356321839080497,0.17241379310344801,6.3218390804597693E-2,0,6.3218390804597693E-2,11,0,0,2,9,11,0,0,0.18181818181818199,0.81818181818181801,1,11,0,1,2,8,10,0,9.0909090909090898E-2,0.18181818181818199,0.72727272727272696,0.90909090909090895,186,32,0.17204301075268799,185,21,0.11351351351351401
442,Columbia Heights EC (CHEC),6,80,25,23,24,8,0,8,0.3125,0.28749999999999998,0.3,0.1,0,0.1,80,15,21,25,17,2,19,0.1875,0.26250000000000001,0.3125,0.21249999999999999,2.5000000000000001E-2,0.23749999999999999,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,80,8,0.1,80,19,0.23749999999999999
442,Columbia Heights EC (CHEC),7,87,39,24,16,8,0,8,0.44827586206896602,0.27586206896551702,0.18390804597701099,9.1954022988505704E-2,0,9.1954022988505704E-2,94,26,37,21,9,1,10,0.27659574468085102,0.39361702127659598,0.22340425531914901,9.5744680851063801E-2,1.0638297872340399E-2,0.10638297872340401,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,89,10,0.112359550561798,96,12,0.125
442,Columbia Heights EC (CHEC),8,97,36,21,29,10,1,11,0.37113402061855699,0.216494845360825,0.298969072164948,0.10309278350515499,1.03092783505155E-2,0.11340206185567001,100,25,50,21,4,0,4,0.25,0.5,0.21,0.04,0,0.04,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,98,12,0.122448979591837,101,5,4.95049504950495E-2
442,Columbia Heights EC (CHEC),HS,243,100,57,46,37,3,40,0.41152263374485598,0.234567901234568,0.18930041152263399,0.15226337448559699,1.2345679012345699E-2,0.164609053497942,189,48,99,40,2,0,2,0.25396825396825401,0.52380952380952395,0.21164021164021199,1.0582010582010601E-2,0,1.0582010582010601E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,245,42,0.17142857142857101,191,4,2.0942408376963401E-2
442,Columbia Heights EC (CHEC),All,507,200,125,115,63,4,67,0.39447731755424098,0.24654832347139999,0.22682445759368799,0.124260355029586,7.8895463510848095E-3,0.13214990138067101,463,114,207,107,32,3,35,0.24622030237581,0.447084233261339,0.23110151187905001,6.9114470842332604E-2,6.4794816414686799E-3,7.5593952483801297E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,512,72,0.140625,468,40,8.54700854700855E-2
450,Anacostia HS,HS,97,67,17,11,2,0,2,0.69072164948453596,0.17525773195876301,0.11340206185567001,2.06185567010309E-2,0,2.06185567010309E-2,96,33,49,14,0,0,0,0.34375,0.51041666666666696,0.14583333333333301,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,97,2,2.06185567010309E-2,96,0,0
450,Anacostia HS,All,97,67,17,11,2,0,2,0.69072164948453596,0.17525773195876301,0.11340206185567001,2.06185567010309E-2,0,2.06185567010309E-2,96,33,49,14,0,0,0,0.34375,0.51041666666666696,0.14583333333333301,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,97,2,2.06185567010309E-2,96,0,0
452,Ballou HS,HS,122,94,21,7,0,0,0,0.77049180327868805,0.17213114754098399,5.7377049180327898E-2,0,0,0,87,39,47,1,0,0,0,0.44827586206896602,0.54022988505747105,1.1494252873563199E-2,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,122,0,0,87,0,0
452,Ballou HS,All,122,94,21,7,0,0,0,0.77049180327868805,0.17213114754098399,5.7377049180327898E-2,0,0,0,87,39,47,1,0,0,0,0.44827586206896602,0.54022988505747105,1.1494252873563199E-2,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,122,0,0,87,0,0
454,Cardozo EC,6,21,12,5,3,1,0,1,0.57142857142857095,0.238095238095238,0.14285714285714299,4.7619047619047603E-2,0,4.7619047619047603E-2,18,4,10,3,1,0,1,0.22222222222222199,0.55555555555555602,0.16666666666666699,5.5555555555555601E-2,0,5.5555555555555601E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,22,1,4.5454545454545497E-2,19,1,5.2631578947368397E-2
