School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
212,Brent Elementary School,4,57,0,2,5,24,26,50,0,3.51E-02,8.77E-02,0.421,0.456,0.877,57,1,3,9,29,15,44,1.75E-02,5.26E-02,0.158,0.509,0.263,0.772,.,,,,,,,,,,,.,,,,,,,,,,
212,Brent Elementary School,5,23,0,2,2,16,3,19,0,8.70E-02,8.70E-02,0.696,0.13,0.826,23,0,3,8,12,0,12,0,0.13,0.348,0.522,0,0.522,.,,,,,,,,,,,.,,,,,,,,,,
212,Brent Elementary School,ALL,140,5,11,21,70,33,103,3.57E-02,7.86E-02,0.15,0.5,0.236,0.736,140,2,12,27,67,32,99,1.43E-02,8.57E-02,0.193,0.479,0.229,0.707,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,3,65,11,13,16,25,0,25,0.169,0.2,0.246,0.385,0,0.385,65,2,4,22,32,5,37,3.08E-02,6.15E-02,0.338,0.492,7.69E-02,0.569,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,4,66,6,13,18,25,4,29,9.09E-02,0.197,0.273,0.379,6.06E-02,0.439,66,3,6,18,34,5,39,4.55E-02,9.09E-02,0.273,0.515,7.58E-02,0.591,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,5,82,14,20,27,17,4,21,0.171,0.244,0.329,0.207,4.88E-02,0.256,82,3,20,27,28,4,32,3.66E-02,0.244,0.329,0.341,4.88E-02,0.39,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,6,74,14,18,20,22,0,22,0.189,0.243,0.27,0.297,0,0.297,74,25,21,13,14,1,15,0.338,0.284,0.176,0.189,1.35E-02,0.203,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,7,52,10,9,17,10,6,16,0.192,0.173,0.327,0.192,0.115,0.308,52,3,15,20,12,2,14,5.77E-02,0.288,0.385,0.231,3.85E-02,0.269,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,8,52,17,7,17,10,1,11,0.327,0.135,0.327,0.192,1.92E-02,0.212,52,27,9,9,6,1,7,0.519,0.173,0.173,0.115,1.92E-02,0.135,.,,,,,,,,,,,.,,,,,,,,,,
213,Brightwood Education Campus,ALL,391,72,80,115,109,15,124,0.184,0.205,0.294,0.279,3.84E-02,0.317,391,63,75,109,126,18,144,0.161,0.192,0.279,0.322,4.60E-02,0.368,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,3,19,4,9,2,4,0,4,0.211,0.474,0.105,0.211,0,0.211,19,6,4,3,6,0,6,0.316,0.211,0.158,0.316,0,0.316,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,4,30,6,10,8,4,2,6,0.2,0.333,0.267,0.133,6.67E-02,0.2,30,7,11,8,4,0,4,0.233,0.367,0.267,0.133,0,0.133,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,5,18,3,6,5,4,0,4,0.167,0.333,0.278,0.222,0,0.222,18,3,6,5,4,0,4,0.167,0.333,0.278,0.222,0,0.222,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,ALL,67,13,25,15,12,2,14,0.194,0.373,0.224,0.179,2.99E-02,0.209,67,16,21,16,14,0,14,0.239,0.313,0.239,0.209,0,0.209,.,,,,,,,,,,,.,,,,,,,,,,
220,Burroughs Elementary School,3,30,5,4,10,9,2,11,0.167,0.133,0.333,0.3,6.67E-02,0.367,30,4,3,11,10,2,12,0.133,0.1,0.367,0.333,6.67E-02,0.4,.,,,,,,,,,,,.,,,,,,,,,,
220,Burroughs Elementary School,4,38,4,14,11,7,2,9,0.105,0.368,0.289,0.184,5.26E-02,0.237,38,4,7,14,13,0,13,0.105,0.184,0.368,0.342,0,0.342,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
220,Burroughs Elementary School,5,19,4,7,6,2,0,2,0.211,0.368,0.316,0.105,0,0.105,19,6,3,7,3,0,3,0.316,0.158,0.368,0.158,0,0.158,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
220,Burroughs Elementary School,ALL,87,13,25,27,18,4,22,0.149,0.287,0.31,0.207,4.60E-02,0.253,87,14,13,32,26,2,28,0.161,0.149,0.368,0.299,2.30E-02,0.322,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
221,Burrville Elementary School,3,25,7,8,5,5,0,5,0.28,0.32,0.2,0.2,0,0.2,25,9,3,7,6,0,6,0.36,0.12,0.28,0.24,0,0.24,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,4,33,4,4,9,14,2,16,0.121,0.121,0.273,0.424,6.06E-02,0.485,33,7,10,6,10,0,10,0.212,0.303,0.182,0.303,0,0.303,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,5,30,3,7,10,9,1,10,0.1,0.233,0.333,0.3,3.33E-02,0.333,30,0,11,12,7,0,7,0,0.367,0.4,0.233,0,0.233,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,ALL,88,14,19,24,28,3,31,0.159,0.216,0.273,0.318,3.41E-02,0.352,88,16,24,25,23,0,23,0.182,0.273,0.284,0.261,0,0.261,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,3,38,13,10,10,5,0,5,0.342,0.263,0.263,0.132,0,0.132,38,4,5,16,13,0,13,0.105,0.132,0.421,0.342,0,0.342,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,4,33,9,7,8,9,0,9,0.273,0.212,0.242,0.273,0,0.273,33,6,8,13,6,0,6,0.182,0.242,0.394,0.182,0,0.182,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,5,37,7,7,11,10,2,12,0.189,0.189,0.297,0.27,5.41E-02,0.324,37,4,14,9,10,0,10,0.108,0.378,0.243,0.27,0,0.27,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,ALL,108,29,24,29,24,2,26,0.269,0.222,0.269,0.222,1.85E-02,0.241,108,14,27,38,29,0,29,0.13,0.25,0.352,0.269,0,0.269,.,,,,,,,,,,,.,,,,,,,,,,
