School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient
409,School Without Walls @ Francis-Stevens,8,41,4,6,9,19,3,22,9.76E-02,0.146341458,0.219512194,0.463414639,7.32E-02,0.536585391,41,7,11,13,10,0,10,0.170731708,0.268292695,0.317073166,0.243902445,0,0.243902445
409,School Without Walls @ Francis-Stevens,ALL,261,38,44,76,85,18,103,0.145593867,0.16858238,0.291187733,0.325670511,6.90E-02,0.394636005,261,24,56,69,98,14,112,9.20E-02,0.214559391,0.264367819,0.375478923,5.36E-02,0.429118782
413,Hart Middle School,6,107,39,42,15,11,0,11,0.364485979,0.392523378,0.140186921,0.102803737,0,0.102803737,107,53,34,16,4,0,4,0.495327115,0.31775701,0.149532706,3.74E-02,0,3.74E-02
413,Hart Middle School,7,110,65,22,19,3,1,4,0.590909064,0.200000003,0.172727272,2.73E-02,9.09E-03,3.64E-02,110,39,54,13,4,0,4,0.354545444,0.4909091,0.118181817,3.64E-02,0,3.64E-02
413,Hart Middle School,8,93,52,20,16,5,0,5,0.559139788,0.215053767,0.172043011,5.38E-02,0,5.38E-02,94,59,24,9,2,0,2,0.627659559,0.255319148,9.57E-02,2.13E-02,0,2.13E-02
413,Hart Middle School,ALL,310,156,84,50,19,1,20,0.503225803,0.270967752,0.161290318,6.13E-02,3.23E-03,6.45E-02,311,151,112,38,10,0,10,0.485530555,0.360128611,0.122186497,3.22E-02,0,3.22E-02
416,Johnson Middle School,6,86,26,30,22,7,1,8,0.302325577,0.348837197,0.255813956,8.14E-02,1.16E-02,9.30E-02,86,45,28,9,3,1,4,0.523255825,0.325581402,0.104651161,3.49E-02,1.16E-02,4.65E-02
416,Johnson Middle School,7,75,25,21,16,12,1,13,0.333333343,0.280000001,0.213333338,0.159999996,1.33E-02,0.173333332,71,24,27,17,3,0,3,0.338028163,0.380281687,0.239436626,4.23E-02,0,4.23E-02
416,Johnson Middle School,8,74,31,22,14,7,0,7,0.418918908,0.297297299,0.189189196,9.46E-02,0,9.46E-02,75,49,24,2,0,0,0,0.653333306,0.319999993,2.67E-02,0,0,0
416,Johnson Middle School,ALL,235,82,73,52,26,2,28,0.34893617,0.310638309,0.221276596,0.110638298,8.51E-03,0.11914894,232,118,79,28,6,1,7,0.508620679,0.340517253,0.120689653,2.59E-02,4.31E-03,3.02E-02
417,Kramer Middle School,6,57,22,22,11,2,0,2,0.3859649,0.3859649,0.19298245,3.51E-02,0,3.51E-02,57,24,27,4,2,0,2,0.421052635,0.473684222,7.02E-02,3.51E-02,0,3.51E-02
417,Kramer Middle School,7,64,39,14,10,1,0,1,0.609375,0.21875,0.15625,1.56E-02,0,1.56E-02,64,27,35,2,0,0,0,0.421875,0.546875,3.13E-02,0,0,0
417,Kramer Middle School,8,60,28,23,7,2,0,2,0.466666669,0.383333325,0.116666667,3.33E-02,0,3.33E-02,57,44,11,2,0,0,0,0.771929801,0.19298245,3.51E-02,0,0,0
417,Kramer Middle School,ALL,181,89,59,28,5,0,5,0.491712719,0.325966865,0.154696137,2.76E-02,0,2.76E-02,178,95,73,8,2,0,2,0.533707857,0.410112351,4.49E-02,1.12E-02,0,1.12E-02
420,MacFarland Middle School,6,61,12,15,22,12,0,12,0.196721315,0.245901644,0.360655725,0.196721315,0,0.196721315,61,9,21,21,10,0,10,0.147540987,0.344262302,0.344262302,0.163934425,0,0.163934425
420,MacFarland Middle School,7,68,12,16,20,17,3,20,0.176470593,0.235294119,0.294117659,0.25,4.41E-02,0.294117659,68,17,20,20,10,1,11,0.25,0.294117659,0.294117659,0.14705883,1.47E-02,0.161764711
420,MacFarland Middle School,ALL,129,24,31,42,29,3,32,0.186046511,0.240310073,0.325581402,0.224806204,2.33E-02,0.248062015,129,26,41,41,20,1,21,0.201550394,0.31782946,0.31782946,0.155038759,7.75E-03,0.162790701
421,Kelly Miller Middle School,6,120,44,38,25,12,1,13,0.366666675,0.316666663,0.208333328,0.100000001,8.33E-03,0.108333334,120,50,51,15,4,0,4,0.416666657,0.425000012,0.125,3.33E-02,0,3.33E-02
421,Kelly Miller Middle School,7,120,32,25,35,24,4,28,0.266666681,0.208333328,0.291666657,0.200000003,3.33E-02,0.233333334,120,29,52,32,7,0,7,0.24166666,0.433333337,0.266666681,5.83E-02,0,5.83E-02
421,Kelly Miller Middle School,8,114,42,32,25,14,1,15,0.368421048,0.280701756,0.219298244,0.122807018,8.77E-03,0.131578952,113,56,34,17,6,0,6,0.495575219,0.300884962,0.150442481,5.31E-02,0,5.31E-02
421,Kelly Miller Middle School,ALL,354,118,95,85,50,6,56,0.333333343,0.268361568,0.24011299,0.141242936,1.69E-02,0.158192083,353,135,137,64,17,0,17,0.382436275,0.388101995,0.181303114,4.82E-02,0,4.82E-02
427,Sousa Middle School,6,64,25,24,9,6,0,6,0.390625,0.375,0.140625,9.38E-02,0,9.38E-02,63,17,23,22,1,0,1,0.269841284,0.365079373,0.349206358,1.59E-02,0,1.59E-02
427,Sousa Middle School,7,82,29,21,22,10,0,10,0.353658527,0.256097555,0.268292695,0.121951222,0,0.121951222,83,27,39,16,1,0,1,0.3253012,0.469879508,0.192771077,1.20E-02,0,1.20E-02
427,Sousa Middle School,8,71,27,25,14,5,0,5,0.380281687,0.352112681,0.197183102,7.04E-02,0,7.04E-02,71,48,20,3,0,0,0,0.676056325,0.28169015,4.23E-02,0,0,0
