School Code,School Name,Enrollment,Special Education,English Language Learners (ELL),Specialty,Title,ASP/ECR,PPFM,Stabilization,School-based At-Risk,Total School Budget Allocation,School Support At-Risk,Notes,Total At-Risk
280,Miner ES,3519622,827628,23688,0,165830,22871,0,0,532332,5091971,0,,532332
285,Moten ES,3430796,541658,0,0,175947,59816,0,0,705960,4914177,0,,705960
287,Murch ES,4513199,400950,281416,0,15625,0,136137,295745,49608,5692681,0,,49608
288,Nalle ES,3373621,469027,2132,0,162878,0,0,0,581940,4589598,0,,581940
290,Noyes ES,1978631,900259,46903,0,80596,31667,0,0,263304,3301360,0,,263304
291,Orr ES,3649872,469027,4264,0,175104,0,0,0,642996,4941263,0,,642996
292,Oyster-Adams Bilingual School,6032467,1010686,469027,500000,16600,0,0,0,143100,8171881,0,,143100
294,Patterson ES,3406907,1050073,4264,0,167937,16713,0,0,663984,5470958,0,,663984
295,Payne ES,2578206,1154822,17056,0,127863,95881,0,0,320544,4294371,0,,320544
301,Peabody ES,2305263,140708,0,0,5675,0,0,0,47700,2499346,0,,47700
478,"Phelps Architecture, Construction and Engineering HS",2765707,375222,46903,0,127019,24276,0,499164,358704,4196996,0,,358704
299,Plummer ES,3468759,764104,93805,0,170045,47501,0,0,612468,5156682,0,,612468
300,Powell ES,4149363,703541,1078763,0,212675,161855,0,0,492264,6798461,0,,492264
316,Randle Highlands ES,3047845,422125,0,0,141775,0,0,0,406404,4018149,0,,406404
302,Raymond EC,4800454,750444,1078763,0,237572,56842,0,0,652536,7576612,0,,652536
304,River Terrace EC,1389835,2458747,46903,0,51904,880,0,0,120204,4068472,0,,120204
459,Roosevelt HS,4374306,2076255,1086613,400000,206747,0,0,0,973080,9117002,0,,973080
456,Roosevelt STAY,3275558,422125,93805,0,19525,0,0,0,0,3811013,0,,0
305,Ross ES,1883594,112567,93805,0,4175,0,0,0,9540,2103681,0,,9540
307,Savoy ES,3102981,469027,0,0,146412,13195,0,138784,534240,4404639,0,,534240
466,School Without Walls HS,3742090,281416,8528,495436,14750,0,532664,0,192708,5267593,0,,192708
175,School-Within-School @ Goding,2674740,1092423,0,0,8225,0,0,0,40068,3815456,0,,40068
309,Seaton ES,3070682,930540,375222,0,129127,35186,0,0,330084,4870841,0,,330084
313,Shepherd ES,3137322,375222,24423,0,8250,0,0,0,108756,3653973,0,,108756
315,Simon ES,2448959,426678,18477,0,126176,0,0,0,421668,3441958,0,,421668
322,Smothers ES,2580078,708094,24162,0,118141,0,0,0,412128,3842604,0,,412128
427,Sousa MS,2143200,874531,0,0,106337,0,0,0,349164,3473232,0,,349164
319,Stanton ES,4241257,656638,0,0,219420,22871,0,0,356692,5496878,500000,Scholar Academy,856692
321,Stoddert ES,3653883,328319,281416,0,10800,0,0,0,59148,4333567,0,,59148
428,Stuart-Hobson MS,3327176,729269,12081,0,89122,0,0,0,267120,4424768,0,,267120
409,School Without Walls @ Francis-Stevens,3978849,925987,93805,0,74949,80048,0,99556,215604,5468798,0,,215604
324,Takoma EC,3738438,1237684,469027,0,195786,124595,0,0,427392,6192923,0,,427392
325,Thomas ES,3496336,994064,17056,0,172153,111720,0,0,587664,5378993,0,,587664
326,Thomson ES,2675179,375222,469027,0,119406,35603,0,0,242316,3916753,0,,242316
327,Truesdell EC,4661719,938055,1031860,0,244739,132548,0,0,767016,7775938,0,,767016
328,Tubman ES,4356476,1062142,750444,0,227430,0,0,0,663984,7060475,0,,663984
329,Turner ES,3893633,801900,0,0,194100,2098,0,0,820440,5712171,0,,820440
330,Tyler ES,4421227,1169607,46903,0,216469,27269,0,0,393048,6274522,0,,393048
331,Van Ness ES,1689264,187611,8528,0,2600,0,0,0,59148,1947151,0,,59148
332,Walker-Jones EC,3758298,1420742,34111,0,189463,17593,0,0,719316,6139523,0,,719316
474,Washington Metropolitan HS,2721974,773333,0,0,63286,40460,0,0,0,3599053,0,,0
333,Watkins ES,3287838,515930,4264,0,77407,42223,0,225536,225144,4378341,0,,225144
336,West EC,3009106,515930,93805,0,125755,82668,0,0,288108,4115372,0,,288108
335,Wheatley EC,3213691,750444,26720,0,149785,79131,0,396595,520884,5137250,0,,520884
338,Whittier EC,3181385,1310315,187611,0,151893,84446,0,0,448380,5364029,0,,448380
463,Woodrow Wilson HS,11218996,2448049,483540,0,44875,0,691769,0,1158156,16045386,0,,1158156
464,"Woodson, H.D. HS",5567160,2589346,17056,0,276383,0,0,0,961632,9597703,0,,961632
861,Youth Services Center,853448,609736,34111,1038292,1950,8092,0,0,0,2545628,0,,0
