,,,DATA AS OF: August 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
247,C.W. Harris Elementary School,03,31,19,4,6,2,0,2,0.613,0.129,0.194,6.4516129032258063E-2,0.000,6.4516129032258063E-2,31,6,9,8,7,1,8,0.194,0.290,0.258,0.226,3.2258064516129031E-2,0.258,.,,,,,,,,,,,.,,,,,,,,,,
247,C.W. Harris Elementary School,04,22,12,4,3,3,0,3,0.545,0.182,0.136,0.136,0.000,0.136,22,10,7,4,1,0,1,0.455,0.318,0.182,4.5454545454545456E-2,0.000,4.5454545454545456E-2,.,,,,,,,,,,,.,,,,,,,,,,
247,C.W. Harris Elementary School,05,34,15,12,4,3,0,3,0.441,0.353,0.118,8.8235294117647065E-2,0.000,8.8235294117647065E-2,34,8,17,7,2,0,2,0.235,0.500,0.206,5.8823529411764705E-2,0.000,5.8823529411764705E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
247,C.W. Harris Elementary School,ALL,87,46,20,13,8,0,8,0.529,0.230,0.149,9.1954022988505746E-2,0.000,9.1954022988505746E-2,87,24,33,19,10,1,11,0.276,0.379,0.218,0.115,1.1494252873563218E-2,0.126,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
249,Hendley Elementary School,03,39,24,8,5,2,0,2,0.615,0.205,0.128,5.128205128205128E-2,0.000,5.128205128205128E-2,39,13,16,6,4,0,4,0.333,0.410,0.154,0.103,0.000,0.103,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,04,56,21,14,13,8,0,8,0.375,0.250,0.232,0.143,0.000,0.143,56,12,9,14,20,1,21,0.214,0.161,0.250,0.357,1.7857142857142856E-2,0.375,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,05,47,16,20,9,2,0,2,0.340,0.426,0.191,4.2553191489361701E-2,0.000,4.2553191489361701E-2,47,19,18,6,4,0,4,0.404,0.383,0.128,8.5106382978723402E-2,0.000,8.5106382978723402E-2,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,ALL,142,61,42,27,12,0,12,0.430,0.296,0.190,8.4507042253521125E-2,0.000,8.4507042253521125E-2,142,44,43,26,28,1,29,0.310,0.303,0.183,0.197,7.0422535211267607E-3,0.204,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,03,30,15,8,5,2,0,2,0.500,0.267,0.167,6.6666666666666666E-2,0.000,6.6666666666666666E-2,30,6,11,10,2,1,3,0.200,0.367,0.333,6.6666666666666666E-2,3.3333333333333333E-2,0.100,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,04,24,5,7,10,2,0,2,0.208,0.292,0.417,8.3333333333333329E-2,0.000,8.3333333333333329E-2,24,3,10,7,4,0,4,0.125,0.417,0.292,0.167,0.000,0.167,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,05,38,7,11,17,3,0,3,0.184,0.289,0.447,7.8947368421052627E-2,0.000,7.8947368421052627E-2,38,12,19,5,2,0,2,0.316,0.500,0.132,5.2631578947368418E-2,0.000,5.2631578947368418E-2,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,ALL,92,27,26,32,7,0,7,0.293,0.283,0.348,7.6086956521739135E-2,0.000,7.6086956521739135E-2,92,21,40,22,8,1,9,0.228,0.435,0.239,8.6956521739130432E-2,1.0869565217391304E-2,9.7826086956521743E-2,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,03,47,6,6,6,20,9,29,0.128,0.128,0.128,0.426,0.191,0.617,47,5,2,9,21,10,31,0.106,4.2553191489361701E-2,0.191,0.447,0.213,0.660,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,04,39,2,4,6,19,8,27,5.128205128205128E-2,0.103,0.154,0.487,0.205,0.692,39,4,5,6,23,1,24,0.103,0.128,0.154,0.590,2.564102564102564E-2,0.615,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,05,32,3,4,10,11,4,15,9.375E-2,0.125,0.312,0.344,0.125,0.469,32,3,3,6,13,7,20,9.375E-2,9.375E-2,0.188,0.406,0.219,0.625,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,ALL,118,11,14,22,50,21,71,9.3220338983050849E-2,0.119,0.186,0.424,0.178,0.602,118,12,10,21,57,18,75,0.102,8.4745762711864403E-2,0.178,0.483,0.153,0.636,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,03,105,2,2,14,76,11,87,1.9047619047619049E-2,1.9047619047619049E-2,0.133,0.724,0.105,0.829,105,2,1,11,65,26,91,1.9047619047619049E-2,9.5238095238095247E-3,0.105,0.619,0.248,0.867,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,04,117,1,2,7,61,46,107,8.5470085470085479E-3,1.7094017094017096E-2,5.9829059829059832E-2,0.521,0.393,0.915,117,0,2,14,88,13,101,0.000,1.7094017094017096E-2,0.120,0.752,0.111,0.863,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,05,99,0,1,10,65,23,88,0.000,1.0101010101010102E-2,0.101,0.657,0.232,0.889,99,0,9,18,50,22,72,0.000,9.0909090909090912E-2,0.182,0.505,0.222,0.727,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,ALL,321,3,5,31,202,80,282,9.3457943925233638E-3,1.5576323987538941E-2,9.657320872274143E-2,0.629,0.249,0.879,321,2,12,43,203,61,264,6.2305295950155761E-3,3.7383177570093455E-2,0.134,0.632,0.190,0.822,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,03,40,12,12,8,8,0,8,0.300,0.300,0.200,0.200,0.000,0.200,40,5,9,10,15,1,16,0.125,0.225,0.250,0.375,2.5000000000000001E-2,0.400,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,04,30,2,10,13,5,0,5,6.6666666666666666E-2,0.333,0.433,0.167,0.000,0.167,30,2,3,13,12,0,12,6.6666666666666666E-2,0.100,0.433,0.400,0.000,0.400,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,05,41,6,11,16,8,0,8,0.146,0.268,0.390,0.195,0.000,0.195,41,2,11,17,11,0,11,4.878048780487805E-2,0.268,0.415,0.268,0.000,0.268,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,ALL,111,20,33,37,21,0,21,0.180,0.297,0.333,0.189,0.000,0.189,111,9,23,40,38,1,39,8.1081081081081086E-2,0.207,0.360,0.342,9.0090090090090089E-3,0.351,.,,,,,,,,,,,.,,,,,,,,,,
258,Hearst Elementary School,03,47,1,4,8,30,4,34,2.1276595744680851E-2,8.5106382978723402E-2,0.170,0.638,8.5106382978723402E-2,0.723,47,3,3,10,23,8,31,6.3829787234042548E-2,6.3829787234042548E-2,0.213,0.489,0.170,0.660,.,,,,,,,,,,,.,,,,,,,,,,
258,Hearst Elementary School,04,37,4,5,13,11,4,15,0.108,0.135,0.351,0.297,0.108,0.405,37,2,6,10,14,5,19,5.4054054054054057E-2,0.162,0.270,0.378,0.135,0.514,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
258,Hearst Elementary School,05,36,3,2,7,18,6,24,8.3333333333333329E-2,5.5555555555555552E-2,0.194,0.500,0.167,0.667,36,3,4,7,12,10,22,8.3333333333333329E-2,0.111,0.194,0.333,0.278,0.611,.,,,,,,,,,,,.,,,,,,,,,,
258,Hearst Elementary School,ALL,120,8,11,28,59,14,73,6.6666666666666666E-2,9.166666666666666E-2,0.233,0.492,0.117,0.608,120,8,13,27,49,23,72,6.6666666666666666E-2,0.108,0.225,0.408,0.192,0.600,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
259,Kimball Elementary School @ Davis,03,34,18,5,4,7,0,7,0.529,0.147,0.118,0.206,0.000,0.206,34,12,7,7,8,0,8,0.353,0.206,0.206,0.235,0.000,0.235,.,,,,,,,,,,,.,,,,,,,,,,
259,Kimball Elementary School @ Davis,04,58,10,17,15,11,5,16,0.172,0.293,0.259,0.190,8.6206896551724144E-2,0.276,58,12,20,14,11,1,12,0.207,0.345,0.241,0.190,1.7241379310344827E-2,0.207,.,,,,,,,,,,,.,,,,,,,,,,
259,Kimball Elementary School @ Davis,05,50,9,17,19,5,0,5,0.180,0.340,0.380,0.100,0.000,0.100,49,5,10,24,10,0,10,0.102,0.204,0.490,0.204,0.000,0.204,.,,,,,,,,,,,.,,,,,,,,,,
259,Kimball Elementary School @ Davis,ALL,142,37,39,38,23,5,28,0.261,0.275,0.268,0.162,3.5211267605633804E-2,0.197,141,29,37,45,29,1,30,0.206,0.262,0.319,0.206,7.0921985815602835E-3,0.213,.,,,,,,,,,,,.,,,,,,,,,,
261,Lafayette Elementary School,03,115,6,6,19,65,19,84,5.2173913043478258E-2,5.2173913043478258E-2,0.165,0.565,0.165,0.730,115,4,3,8,60,40,100,3.4782608695652174E-2,2.6086956521739129E-2,6.9565217391304349E-2,0.522,0.348,0.870,.,,,,,,,,,,,.,,,,,,,,,,
261,Lafayette Elementary School,04,126,4,7,17,46,52,98,3.1746031746031744E-2,5.5555555555555552E-2,0.135,0.365,0.413,0.778,126,4,5,24,76,17,93,3.1746031746031744E-2,3.968253968253968E-2,0.190,0.603,0.135,0.738,.,,,,,,,,,,,.,,,,,,,,,,
261,Lafayette Elementary School,05,84,0,2,7,54,21,75,0.000,2.3809523809523808E-2,8.3333333333333329E-2,0.643,0.250,0.893,84,0,2,10,44,28,72,0.000,2.3809523809523808E-2,0.119,0.524,0.333,0.857,.,,,,,,,,,,,.,,,,,,,,,,
261,Lafayette Elementary School,ALL,325,10,15,43,165,92,257,3.0769230769230771E-2,4.6153846153846156E-2,0.132,0.508,0.283,0.791,325,8,10,42,180,85,265,2.4615384615384615E-2,3.0769230769230771E-2,0.129,0.554,0.262,0.815,.,,,,,,,,,,,.,,,,,,,,,,
262,Langdon Elementary School,03,51,4,12,13,21,1,22,7.8431372549019607E-2,0.235,0.255,0.412,1.9607843137254902E-2,0.431,50,3,5,15,25,2,27,0.060,0.100,0.300,0.500,0.040,0.540,.,,,,,,,,,,,.,,,,,,,,,,
262,Langdon Elementary School,04,46,6,15,14,8,3,11,0.130,0.326,0.304,0.174,6.5217391304347824E-2,0.239,46,6,16,12,11,1,12,0.130,0.348,0.261,0.239,2.1739130434782608E-2,0.261,.,,,,,,,,,,,.,,,,,,,,,,
262,Langdon Elementary School,05,33,6,7,10,10,0,10,0.182,0.212,0.303,0.303,0.000,0.303,33,6,9,11,5,2,7,0.182,0.273,0.333,0.152,6.0606060606060608E-2,0.212,.,,,,,,,,,,,.,,,,,,,,,,
262,Langdon Elementary School,ALL,130,16,34,37,39,4,43,0.123,0.262,0.285,0.300,3.0769230769230771E-2,0.331,129,15,30,38,41,5,46,0.116,0.233,0.295,0.318,3.875968992248062E-2,0.357,.,,,,,,,,,,,.,,,,,,,,,,
264,LaSalle-Backus Education Campus,03,38,15,10,6,6,1,7,0.395,0.263,0.158,0.158,2.6315789473684209E-2,0.184,38,11,10,11,4,2,6,0.289,0.263,0.289,0.105,5.2631578947368418E-2,0.158,.,,,,,,,,,,,.,,,,,,,,,,
264,LaSalle-Backus Education Campus,04,22,2,2,7,10,1,11,9.0909090909090912E-2,9.0909090909090912E-2,0.318,0.455,4.5454545454545456E-2,0.500,22,2,4,10,6,0,6,9.0909090909090912E-2,0.182,0.455,0.273,0.000,0.273,.,,,,,,,,,,,.,,,,,,,,,,
264,LaSalle-Backus Education Campus,05,32,9,8,8,7,0,7,0.281,0.250,0.250,0.219,0.000,0.219,32,5,5,15,7,0,7,0.156,0.156,0.469,0.219,0.000,0.219,.,,,,,,,,,,,.,,,,,,,,,,
264,LaSalle-Backus Education Campus,06,35,6,8,11,8,2,10,0.171,0.229,0.314,0.229,5.7142857142857141E-2,0.286,35,8,16,6,5,0,5,0.229,0.457,0.171,0.143,0.000,0.143,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
264,LaSalle-Backus Education Campus,07,37,11,5,8,10,3,13,0.297,0.135,0.216,0.270,8.1081081081081086E-2,0.351,37,9,13,7,7,1,8,0.243,0.351,0.189,0.189,2.7027027027027029E-2,0.216,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
264,LaSalle-Backus Education Campus,08,35,9,4,9,13,0,13,0.257,0.114,0.257,0.371,0.000,0.371,35,14,10,9,2,0,2,0.400,0.286,0.257,5.7142857142857141E-2,0.000,5.7142857142857141E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
264,LaSalle-Backus Education Campus,ALL,199,52,37,49,54,7,61,0.261,0.186,0.246,0.271,3.5175879396984924E-2,0.307,199,49,58,58,31,3,34,0.246,0.291,0.291,0.156,1.507537688442211E-2,0.171,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
266,Leckie Education Campus,03,51,17,13,13,8,0,8,0.333,0.255,0.255,0.157,0.000,0.157,51,11,15,14,10,1,11,0.216,0.294,0.275,0.196,1.9607843137254902E-2,0.216,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
266,Leckie Education Campus,04,57,18,12,17,8,2,10,0.316,0.211,0.298,0.140,3.5087719298245612E-2,0.175,56,21,19,7,9,0,9,0.375,0.339,0.125,0.161,0.000,0.161,.,,,,,,,,,,,.,,,,,,,,,,
266,Leckie Education Campus,05,45,11,11,10,11,2,13,0.244,0.244,0.222,0.244,4.4444444444444446E-2,0.289,45,13,11,12,9,0,9,0.289,0.244,0.267,0.200,0.000,0.200,.,,,,,,,,,,,.,,,,,,,,,,
266,Leckie Education Campus,06,35,3,13,8,10,1,11,8.5714285714285715E-2,0.371,0.229,0.286,2.8571428571428571E-2,0.314,35,13,15,5,2,0,2,0.371,0.429,0.143,5.7142857142857141E-2,0.000,5.7142857142857141E-2,.,,,,,,,,,,,.,,,,,,,,,,
266,Leckie Education Campus,07,28,4,7,6,9,2,11,0.143,0.250,0.214,0.321,7.1428571428571425E-2,0.393,28,3,15,7,3,0,3,0.107,0.536,0.250,0.107,0.000,0.107,.,,,,,,,,,,,.,,,,,,,,,,
266,Leckie Education Campus,08,21,4,6,5,3,3,6,0.190,0.286,0.238,0.143,0.143,0.286,21,10,4,2,4,1,5,0.476,0.190,9.5238095238095233E-2,0.190,4.7619047619047616E-2,0.238,.,,,,,,,,,,,.,,,,,,,,,,
266,Leckie Education Campus,ALL,237,57,62,59,49,10,59,0.241,0.262,0.249,0.207,4.2194092827004218E-2,0.249,236,71,79,47,37,2,39,0.301,0.335,0.199,0.157,8.4745762711864406E-3,0.165,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
271,Ludlow-Taylor Elementary School,03,36,2,4,6,17,7,24,5.5555555555555552E-2,0.111,0.167,0.472,0.194,0.667,36,5,8,9,10,4,14,0.139,0.222,0.250,0.278,0.111,0.389,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
271,Ludlow-Taylor Elementary School,04,50,3,7,8,16,16,32,0.060,0.140,0.160,0.320,0.320,0.640,50,3,11,10,22,4,26,0.060,0.220,0.200,0.440,0.080,0.520,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
271,Ludlow-Taylor Elementary School,05,46,3,8,12,14,9,23,6.5217391304347824E-2,0.174,0.261,0.304,0.196,0.500,46,5,11,8,19,3,22,0.109,0.239,0.174,0.413,6.5217391304347824E-2,0.478,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
271,Ludlow-Taylor Elementary School,ALL,132,8,19,26,47,32,79,6.0606060606060608E-2,0.144,0.197,0.356,0.242,0.598,132,13,30,27,51,11,62,9.8484848484848481E-2,0.227,0.205,0.386,8.3333333333333329E-2,0.470,11,2,4,5,0,5,0.182,0.364,0.455,0.000,0.455,11,2,3,4,2,6,0.182,0.273,0.364,0.182,0.545
272,Key Elementary School,03,63,2,7,14,37,3,40,3.1746031746031744E-2,0.111,0.222,0.587,4.7619047619047616E-2,0.635,63,0,2,12,32,17,49,0.000,3.1746031746031744E-2,0.190,0.508,0.270,0.778,.,,,,,,,,,,,.,,,,,,,,,,
272,Key Elementary School,04,51,1,0,7,23,20,43,1.9607843137254902E-2,0.000,0.137,0.451,0.392,0.843,51,1,1,4,31,14,45,1.9607843137254902E-2,1.9607843137254902E-2,7.8431372549019607E-2,0.608,0.275,0.882,.,,,,,,,,,,,.,,,,,,,,,,
272,Key Elementary School,05,42,3,2,2,31,4,35,7.1428571428571425E-2,4.7619047619047616E-2,4.7619047619047616E-2,0.738,9.5238095238095233E-2,0.833,42,1,4,5,24,8,32,2.3809523809523808E-2,9.5238095238095233E-2,0.119,0.571,0.190,0.762,.,,,,,,,,,,,.,,,,,,,,,,
272,Key Elementary School,ALL,156,6,9,23,91,27,118,3.8461538461538464E-2,5.7692307692307696E-2,0.147,0.583,0.173,0.756,156,2,7,21,87,39,126,1.282051282051282E-2,4.4871794871794872E-2,0.135,0.558,0.250,0.808,.,,,,,,,,,,,.,,,,,,,,,,
273,Mann Elementary School,03,67,1,2,15,44,5,49,1.4925373134328358E-2,2.9850746268656716E-2,0.224,0.657,7.4626865671641784E-2,0.731,67,0,3,17,33,14,47,0.000,4.4776119402985072E-2,0.254,0.493,0.209,0.701,.,,,,,,,,,,,.,,,,,,,,,,
273,Mann Elementary School,04,52,1,2,6,22,21,43,1.9230769230769232E-2,3.8461538461538464E-2,0.115,0.423,0.404,0.827,52,1,2,7,31,11,42,1.9230769230769232E-2,3.8461538461538464E-2,0.135,0.596,0.212,0.808,.,,,,,,,,,,,.,,,,,,,,,,
273,Mann Elementary School,05,40,0,1,3,19,17,36,0.000,2.5000000000000001E-2,7.4999999999999997E-2,0.475,0.425,0.900,39,0,4,8,18,9,27,0.000,0.103,0.205,0.462,0.231,0.692,.,,,,,,,,,,,.,,,,,,,,,,
273,Mann Elementary School,ALL,159,2,5,24,85,43,128,1.2578616352201259E-2,3.1446540880503145E-2,0.151,0.535,0.270,0.805,158,1,9,32,82,34,116,6.3291139240506328E-3,5.6962025316455694E-2,0.203,0.519,0.215,0.734,.,,,,,,,,,,,.,,,,,,,,,,
274,Maury Elementary School @ Eliot-Hine,03,51,3,1,4,27,16,43,5.8823529411764705E-2,1.9607843137254902E-2,7.8431372549019607E-2,0.529,0.314,0.843,51,1,3,2,25,20,45,1.9607843137254902E-2,5.8823529411764705E-2,3.9215686274509803E-2,0.490,0.392,0.882,.,,,,,,,,,,,.,,,,,,,,,,
274,Maury Elementary School @ Eliot-Hine,04,47,0,7,6,20,14,34,0.000,0.149,0.128,0.426,0.298,0.723,47,1,4,8,25,9,34,2.1276595744680851E-2,8.5106382978723402E-2,0.170,0.532,0.191,0.723,.,,,,,,,,,,,.,,,,,,,,,,
274,Maury Elementary School @ Eliot-Hine,05,32,1,3,5,14,9,23,3.125E-2,9.375E-2,0.156,0.438,0.281,0.719,32,2,6,5,13,6,19,6.25E-2,0.188,0.156,0.406,0.188,0.594,.,,,,,,,,,,,.,,,,,,,,,,
274,Maury Elementary School @ Eliot-Hine,ALL,130,4,11,15,61,39,100,3.0769230769230771E-2,8.461538461538462E-2,0.115,0.469,0.300,0.769,130,4,13,15,63,35,98,3.0769230769230771E-2,0.100,0.115,0.485,0.269,0.754,.,,,,,,,,,,,.,,,,,,,,,,
280,Miner Elementary School,03,36,19,7,6,4,0,4,0.528,0.194,0.167,0.111,0.000,0.111,36,10,14,6,5,1,6,0.278,0.389,0.167,0.139,2.7777777777777776E-2,0.167,.,,,,,,,,,,,.,,,,,,,,,,
280,Miner Elementary School,04,33,14,6,6,5,2,7,0.424,0.182,0.182,0.152,6.0606060606060608E-2,0.212,33,7,10,8,7,1,8,0.212,0.303,0.242,0.212,3.0303030303030304E-2,0.242,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
280,Miner Elementary School,05,41,14,13,11,3,0,3,0.341,0.317,0.268,7.3170731707317069E-2,0.000,7.3170731707317069E-2,41,12,17,11,1,0,1,0.293,0.415,0.268,2.4390243902439025E-2,0.000,2.4390243902439025E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
280,Miner Elementary School,ALL,110,47,26,23,12,2,14,0.427,0.236,0.209,0.109,1.8181818181818181E-2,0.127,110,29,41,25,13,2,15,0.264,0.373,0.227,0.118,1.8181818181818181E-2,0.136,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
284,Marie Reed Elementary School,03,53,15,11,10,15,2,17,0.283,0.208,0.189,0.283,3.7735849056603772E-2,0.321,53,6,8,17,14,8,22,0.113,0.151,0.321,0.264,0.151,0.415,.,,,,,,,,,,,.,,,,,,,,,,
284,Marie Reed Elementary School,04,45,1,5,8,21,10,31,2.2222222222222223E-2,0.111,0.178,0.467,0.222,0.689,45,4,5,13,18,5,23,8.8888888888888892E-2,0.111,0.289,0.400,0.111,0.511,.,,,,,,,,,,,.,,,,,,,,,,
284,Marie Reed Elementary School,05,51,8,5,8,26,4,30,0.157,9.8039215686274508E-2,0.157,0.510,7.8431372549019607E-2,0.588,51,3,15,15,12,6,18,5.8823529411764705E-2,0.294,0.294,0.235,0.118,0.353,.,,,,,,,,,,,.,,,,,,,,,,
284,Marie Reed Elementary School,ALL,149,24,21,26,62,16,78,0.161,0.141,0.174,0.416,0.107,0.523,149,13,28,45,44,19,63,8.7248322147651006E-2,0.188,0.302,0.295,0.128,0.423,.,,,,,,,,,,,.,,,,,,,,,,
285,Moten Elementary School,03,41,22,11,6,2,0,2,0.537,0.268,0.146,4.878048780487805E-2,0.000,4.878048780487805E-2,41,9,5,14,12,1,13,0.220,0.122,0.341,0.293,2.4390243902439025E-2,0.317,.,,,,,,,,,,,.,,,,,,,,,,
285,Moten Elementary School,04,47,25,10,5,6,1,7,0.532,0.213,0.106,0.128,2.1276595744680851E-2,0.149,47,23,19,3,1,1,2,0.489,0.404,6.3829787234042548E-2,2.1276595744680851E-2,2.1276595744680851E-2,4.2553191489361701E-2,.,,,,,,,,,,,.,,,,,,,,,,
285,Moten Elementary School,05,44,19,11,8,5,1,6,0.432,0.250,0.182,0.114,2.2727272727272728E-2,0.136,44,18,20,4,2,0,2,0.409,0.455,9.0909090909090912E-2,4.5454545454545456E-2,0.000,4.5454545454545456E-2,.,,,,,,,,,,,.,,,,,,,,,,
285,Moten Elementary School,ALL,132,66,32,19,13,2,15,0.500,0.242,0.144,9.8484848484848481E-2,1.5151515151515152E-2,0.114,132,50,44,21,15,2,17,0.379,0.333,0.159,0.114,1.5151515151515152E-2,0.129,.,,,,,,,,,,,.,,,,,,,,,,
287,Murch Elementary School,03,83,5,5,21,47,5,52,6.0240963855421686E-2,6.0240963855421686E-2,0.253,0.566,6.0240963855421686E-2,0.627,84,3,5,14,39,23,62,3.5714285714285712E-2,5.9523809523809521E-2,0.167,0.464,0.274,0.738,.,,,,,,,,,,,.,,,,,,,,,,
287,Murch Elementary School,04,89,2,5,4,38,40,78,2.247191011235955E-2,5.6179775280898875E-2,4.49438202247191E-2,0.427,0.449,0.876,89,3,2,5,48,31,79,3.3707865168539325E-2,2.247191011235955E-2,5.6179775280898875E-2,0.539,0.348,0.888,.,,,,,,,,,,,.,,,,,,,,,,
287,Murch Elementary School,05,90,6,9,10,46,19,65,6.6666666666666666E-2,0.100,0.111,0.511,0.211,0.722,89,7,13,18,36,15,51,7.8651685393258425E-2,0.146,0.202,0.404,0.169,0.573,.,,,,,,,,,,,.,,,,,,,,,,
287,Murch Elementary School,ALL,262,13,19,35,131,64,195,4.9618320610687022E-2,7.2519083969465645E-2,0.134,0.500,0.244,0.744,262,13,20,37,123,69,192,4.9618320610687022E-2,7.6335877862595422E-2,0.141,0.469,0.263,0.733,.,,,,,,,,,,,.,,,,,,,,,,
288,Nalle Elementary School,03,44,24,17,2,1,0,1,0.545,0.386,4.5454545454545456E-2,2.2727272727272728E-2,0.000,2.2727272727272728E-2,44,16,9,13,6,0,6,0.364,0.205,0.295,0.136,0.000,0.136,.,,,,,,,,,,,.,,,,,,,,,,
288,Nalle Elementary School,04,32,10,8,10,4,0,4,0.312,0.250,0.312,0.125,0.000,0.125,32,1,9,11,11,0,11,3.125E-2,0.281,0.344,0.344,0.000,0.344,.,,,,,,,,,,,.,,,,,,,,,,
288,Nalle Elementary School,05,56,18,13,16,8,1,9,0.321,0.232,0.286,0.143,1.7857142857142856E-2,0.161,56,14,19,10,11,2,13,0.250,0.339,0.179,0.196,3.5714285714285712E-2,0.232,.,,,,,,,,,,,.,,,,,,,,,,
288,Nalle Elementary School,ALL,132,52,38,28,13,1,14,0.394,0.288,0.212,9.8484848484848481E-2,7.575757575757576E-3,0.106,132,31,37,34,28,2,30,0.235,0.280,0.258,0.212,1.5151515151515152E-2,0.227,.,,,,,,,,,,,.,,,,,,,,,,
290,Noyes Elementary School,03,22,9,8,1,4,0,4,0.409,0.364,4.5454545454545456E-2,0.182,0.000,0.182,22,5,4,6,5,2,7,0.227,0.182,0.273,0.227,9.0909090909090912E-2,0.318,.,,,,,,,,,,,.,,,,,,,,,,
290,Noyes Elementary School,04,24,11,4,4,5,0,5,0.458,0.167,0.167,0.208,0.000,0.208,24,11,5,1,7,0,7,0.458,0.208,4.1666666666666664E-2,0.292,0.000,0.292,.,,,,,,,,,,,.,,,,,,,,,,
290,Noyes Elementary School,05,32,13,9,5,5,0,5,0.406,0.281,0.156,0.156,0.000,0.156,31,10,7,8,6,0,6,0.323,0.226,0.258,0.194,0.000,0.194,.,,,,,,,,,,,.,,,,,,,,,,
290,Noyes Elementary School,ALL,78,33,21,10,14,0,14,0.423,0.269,0.128,0.179,0.000,0.179,77,26,16,15,18,2,20,0.338,0.208,0.195,0.234,2.5974025974025976E-2,0.260,.,,,,,,,,,,,.,,,,,,,,,,
291,Lawrence E. Boone Elementary School,03,58,28,14,8,7,1,8,0.483,0.241,0.138,0.121,1.7241379310344827E-2,0.138,57,15,12,24,5,1,6,0.263,0.211,0.421,8.771929824561403E-2,1.7543859649122806E-2,0.105,.,,,,,,,,,,,.,,,,,,,,,,
291,Lawrence E. Boone Elementary School,04,47,11,13,16,7,0,7,0.234,0.277,0.340,0.149,0.000,0.149,47,14,20,9,4,0,4,0.298,0.426,0.191,8.5106382978723402E-2,0.000,8.5106382978723402E-2,.,,,,,,,,,,,.,,,,,,,,,,
