,,,DATA AS OF: August 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
203,Amidon-Bowen Elementary School,ALL,144,44,34,39,25,2,27,0.306,0.236,0.271,0.174,1.3888888888888888E-2,0.188,144,36,40,35,30,3,33,0.250,0.278,0.243,0.208,2.0833333333333332E-2,0.229,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,03,62,9,12,15,25,1,26,0.145,0.194,0.242,0.403,1.6129032258064516E-2,0.419,62,4,6,14,29,9,38,6.4516129032258063E-2,9.6774193548387094E-2,0.226,0.468,0.145,0.613,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,04,75,15,11,11,28,10,38,0.200,0.147,0.147,0.373,0.133,0.507,75,10,20,16,25,4,29,0.133,0.267,0.213,0.333,5.3333333333333337E-2,0.387,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,05,63,7,12,7,26,11,37,0.111,0.190,0.111,0.413,0.175,0.587,63,3,10,12,31,7,38,4.7619047619047616E-2,0.159,0.190,0.492,0.111,0.603,.,,,,,,,,,,,.,,,,,,,,,,
204,Bancroft Elementary School,ALL,200,31,35,33,79,22,101,0.155,0.175,0.165,0.395,0.110,0.505,200,17,36,42,85,20,105,8.5000000000000006E-2,0.180,0.210,0.425,0.100,0.525,.,,,,,,,,,,,.,,,,,,,,,,
205,Barnard Elementary School,03,70,16,17,22,15,0,15,0.229,0.243,0.314,0.214,0.000,0.214,70,8,8,27,22,5,27,0.114,0.114,0.386,0.314,7.1428571428571425E-2,0.386,.,,,,,,,,,,,.,,,,,,,,,,
205,Barnard Elementary School,04,76,6,19,14,26,11,37,7.8947368421052627E-2,0.250,0.184,0.342,0.145,0.487,76,3,16,21,31,5,36,3.9473684210526314E-2,0.211,0.276,0.408,6.5789473684210523E-2,0.474,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
205,Barnard Elementary School,05,68,12,11,17,24,4,28,0.176,0.162,0.250,0.353,5.8823529411764705E-2,0.412,68,0,13,22,27,6,33,0.000,0.191,0.324,0.397,8.8235294117647065E-2,0.485,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
205,Barnard Elementary School,ALL,214,34,47,53,65,15,80,0.159,0.220,0.248,0.304,7.0093457943925228E-2,0.374,214,11,37,70,80,16,96,5.1401869158878503E-2,0.173,0.327,0.374,7.476635514018691E-2,0.449,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
206,Beers Elementary School,03,69,29,15,16,9,0,9,0.420,0.217,0.232,0.130,0.000,0.130,68,32,15,17,4,0,4,0.471,0.221,0.250,5.8823529411764705E-2,0.000,5.8823529411764705E-2,.,,,,,,,,,,,.,,,,,,,,,,
