,,,DATA AS OF: SEPTEMBER 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA ELA # of Test Takers,MSAA ELA - # Level 1,MSAA ELA - # Level 2,MSAA ELA - # Level 3,MSAA ELA - # Level 4,MSAA ELA - # Proficient,MSAA ELA - % Level 1,MSAA ELA - % Level 2,MSAA ELA - % Level 3,MSAA ELA - % Level 4,MSAA ELA - % Proficient,MSAA Math - # Test Takers,MSAA Math - # Level 1,MSAA Math - # Level 2,MSAA Math - # Level 3,MSAA Math - # Level 4,MSAA Math - # Proficient,MSAA Math - % Level 1,MSAA Math - % Level 2,MSAA Math - % Level 3,MSAA Math - % Level 4,MSAA Math - % Proficient,ELA - # of All (PARCC & MSAA) Test Takers,ELA - # of All (PARCC & MSAA)  Proficient,ELA - % of All (PARCC & MSAA) Proficient,Math - # of All (PARCC & MSAA) Test Takers,Math - # All (PARCC & MSAA) All Proficient,Math - % All (PARCC & MSAA) Proficient
442,Columbia Heights EC (CHEC),All,541,187,122,131,96,5,101,0.34565619199999997,0.22550831800000001,0.24214417699999999,0.17744916799999999,9.2420999999999996E-3,0.186691312,696,194,342,123,35,2,37,0.27873563200000001,0.49137931000000001,0.176724138,5.0287400000000003E-2,2.8735599999999998E-3,5.3160899999999997E-2,,,,,,,,,,,,,,,,,,,,,,,541,101,0.186691312,696,37,5.3160899999999997E-2
450,Anacostia HS,HS,149,118,20,7,3,1,4,0.79194630899999996,0.134228188,4.6979899999999998E-2,2.0134200000000001E-2,6.7114100000000001E-3,2.6845600000000001E-2,152,62,78,12,0,0,0,0.40789473700000001,0.51315789499999998,7.8947368000000004E-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,149,4,2.6845600000000001E-2,152,0,0
450,Anacostia HS,All,149,118,20,7,3,1,4,0.79194630899999996,0.134228188,4.6979899999999998E-2,2.0134200000000001E-2,6.7114100000000001E-3,2.6845600000000001E-2,152,62,78,12,0,0,0,0.40789473700000001,0.51315789499999998,7.8947368000000004E-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,149,4,2.6845600000000001E-2,152,0,0
452,Ballou HS,HS,245,169,54,15,7,0,7,0.68979591799999995,0.22040816299999999,6.1224500000000001E-2,2.85714E-2,0,2.85714E-2,251,109,120,21,1,0,1,0.43426294799999998,0.478087649,8.3665339000000005E-2,3.9840600000000002E-3,0,3.9840600000000002E-3,,,,,,,,,,,,,,,,,,,,,,,245,7,2.85714E-2,251,1,3.9840600000000002E-3
452,Ballou HS,All,245,169,54,15,7,0,7,0.68979591799999995,0.22040816299999999,6.1224500000000001E-2,2.85714E-2,0,2.85714E-2,251,109,120,21,1,0,1,0.43426294799999998,0.478087649,8.3665339000000005E-2,3.9840600000000002E-3,0,3.9840600000000002E-3,,,,,,,,,,,,,,,,,,,,,,,245,7,2.85714E-2,251,1,3.9840600000000002E-3
454,Cardozo EC,6,19,10,4,1,3,1,4,0.52631578899999998,0.21052631599999999,5.2631600000000001E-2,0.15789473700000001,5.2631600000000001E-2,0.21052631599999999,19,10,5,2,2,0,2,0.52631578899999998,0.26315789499999998,0.105263158,0.105263158,0,0.105263158,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,23,4,0.17391304299999999,23,2,8.6956521999999994E-2
454,Cardozo EC,7,27,14,7,6,0,0,0,0.51851851900000001,0.25925925900000002,0.222222222,0,0,0,27,12,10,3,2,0,2,0.44444444399999999,0.37037037,0.111111111,7.4074074000000004E-2,0,7.4074074000000004E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,31,2,6.4516129000000005E-2,31,3,9.6774193999999994E-2
454,Cardozo EC,8,42,25,10,3,4,0,4,0.59523809500000002,0.23809523799999999,7.1428570999999996E-2,9.5238094999999995E-2,0,9.5238094999999995E-2,32,24,8,0,0,0,0,0.75,0.25,0,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,51,7,0.13725490200000001,41,5,0.12195122
454,Cardozo EC,HS,148,116,13,11,6,2,8,0.78378378400000004,8.7837838000000001E-2,7.4324323999999997E-2,4.05405E-2,1.3513499999999999E-2,5.4054100000000001E-2,105,54,48,3,0,0,0,0.514285714,0.45714285700000001,2.85714E-2,0,0,0,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,,149,8,5.3691299999999997E-2,106,1,9.4339999999999997E-3
454,Cardozo EC,All,236,165,34,21,13,3,16,0.69915254199999999,0.144067797,8.8983050999999994E-2,5.50847E-2,1.27119E-2,6.7796609999999993E-2,183,100,71,8,4,0,4,0.54644808700000003,0.38797814200000003,4.3715799999999999E-2,2.18579E-2,0,2.18579E-2,18,9,4,2,3,5,0.5,0.222222222,0.111111111,0.16666666699999999,0.27777777799999998,18,8,3,6,1,7,0.44444444399999999,0.16666666699999999,0.33333333300000001,5.5555599999999997E-2,0.38888888900000002,254,21,8.2677164999999997E-2,201,11,5.4726400000000001E-2
