Charter,Virtual,Magnet,Latitude,Longitude,FRPM%,Met and Above%,Male%,American Indian%,Asian%,Pacific Islander%,Filipino%,Hispanic%,African American%
0,0,1,1.961840501541083,-2.7152645075704527,0.291,0.96,0.4863387978142073,0.0,0.53551912568306,0.0218579234972677,0.11475409836065559,0.0928961748633879,0.0382513661202185
0,0,0,1.9460455015410858,-2.6818945075704477,0.178,0.6,0.48040313549832014,0.0022396416573348,0.40033594624860014,0.0050391937290032995,0.05823068309070541,0.11254199328107489,0.0621500559910414
0,0,0,1.9571045015410888,-2.7178645075704395,0.425,0.25,0.5390625,0.0,0.0703125,0.015625,0.046875,0.359375,0.203125
0,0,0,2.0777485015410875,-2.728534507570444,0.17,0.75,0.449312714776632,0.0025773195876288,0.28780068728522334,0.0025773195876288,0.015463917525773,0.1709621993127147,0.042955326460481
0,0,0,2.050000501541085,-2.7071645075704396,0.272,0.51,0.43141153081510897,0.0023194168323392,0.0821736249171636,0.0026507620941019,0.0086149768058316,0.2203445990722332,0.1699801192842941
0,0,0,2.040827501541088,-2.707674507570445,0.741,0.05,0.5483870967741935,0.0,0.04838709677419349,0.0,0.0,0.19354838709677408,0.661290322580645
0,0,0,1.8862715015410885,-2.514434507570442,0.2,0.67,0.4445205479452051,0.0041095890410958,0.2606164383561643,0.0047945205479451,0.047945205479452,0.2321917808219178,0.0712328767123286
0,1,0,1.8938875015410872,-2.5290145075704515,0.293,0.2,0.564102564102564,0.017094017094017,0.034188034188034094,0.0085470085470085,0.0,0.5213675213675214,0.07692307692307679
0,0,0,2.0167645015410827,-2.7187845075704473,0.718,0.11,0.5310734463276834,0.0,0.135593220338983,0.0056497175141242,0.0112994350282484,0.1864406779661017,0.5310734463276836
0,0,0,1.7447325015410868,-2.4534345075704493,0.214,0.77,0.4995454545454543,0.0022727272727271998,0.5704545454545454,0.0081818181818181,0.11,0.09909090909090901,0.039090909090908996
0,0,0,1.6997195015410824,-2.400884507570453,0.595,0.35,0.5714285714285713,0.0,0.0993788819875776,0.0124223602484472,0.0496894409937888,0.5403726708074534,0.0807453416149068
0,0,1,1.7037415015410886,-2.404984507570447,0.159,0.7,0.4824366385060023,0.0022232103156958,0.6718541574032904,0.0048910626945308,0.0480213428190306,0.0995998221431746,0.016896398399288498
0,0,0,1.709486501541086,-2.419084507570446,0.433,0.66,0.5111913357400717,0.0050541516245487,0.2389891696750901,0.0166064981949457,0.1090252707581226,0.335740072202166,0.0483754512635378
0,0,1,1.726127501541086,-2.3678945075704405,0.0406,0.91,0.5277084373439838,0.0014977533699449999,0.9096355466799799,0.00099850224663,0.0139790314528207,0.0159760359460807,0.0034947578632051
0,0,0,1.7331695015410844,-2.4308045075704428,0.288,0.53,0.5002635740643118,0.0021085925144964,0.3610964681075382,0.0052714812862412995,0.0822351080653662,0.2266736953083816,0.0405904059040589
1,0,0,1.805280501541084,-2.523864507570451,0.604,0.85,0.5086505190311417,0.0,0.0916955017301037,0.0242214532871971,0.0847750865051902,0.7076124567474048,0.0432525951557093
1,0,0,1.843027501541087,-2.5104245075704483,0.529,0.05,0.45212765957446777,0.0106382978723404,0.053191489361701996,0.0,0.0372340425531914,0.553191489361702,0.0638297872340425
0,0,0,1.8530435015410873,-2.5349145075704484,0.801,0.01,0.61,0.0,0.025,0.05,0.02,0.61,0.125
