Name,Budget,Year
langley,4355320.0,2017
lasalle backus,6390182.25,2014
lasalle backus,5634578.46484375,2015
lasalle backus,11204437.9453125,2016
lasalle backus,5534604.0,2017
leckie,7762307.375,2014
leckie,4314039.4716796875,2015
leckie,10202107.796875,2016
leckie,5409962.0,2017
ludlow taylor,6731729.5625,2014
ludlow taylor,4468999.72265625,2015
ludlow taylor,8931684.162109375,2016
ludlow taylor,4973431.0,2017
luke c moore,3904304.33984375,2015
luke moore,5626259.625,2014
luke moore,7232096.09375,2016
luke moore alternative,3618704.0,2017
macfarland,1637757.0,2017
malcolm x,5344197.625,2014
malcolm x,2882498.0,2015
malcolm x,6366471.25,2016
malcolm x,3473247.0,2017
mamie d lee,5259559.125,2014
mamie d lee school,2418274.01171875,2015
mann,5203908.5625,2014
mann,3116955.69921875,2015
mann,6945972.1123046875,2016
mann,3721473.0,2017
marie reed,9094860.1875,2014
marie reed,5304367.3828125,2015
marie reed,10435364.072265625,2016
marie reed,5364019.0,2017
maury,6348230.375,2014
maury,3502231.33984375,2015
maury,7265554.32421875,2016
maury,3846236.0,2017
mckinley,13641066.5625,2014
mckinley,6069201.978515625,2016
mckinley,3112876.0,2017
mckinley technology,9545622.98046875,2015
mckinley technology,14105815.83984375,2016
mckinley technology,7518785.0,2017
miner,9624509.375,2014
miner,5281328.55078125,2015
miner,10202898.77734375,2016
miner,5091971.0,2017
moten,5644038.4375,2014
moten,4667226.8046875,2015
moten,9921336.65625,2016
moten,4914177.0,2017
murch,10024346.1875,2014
murch,6307680.0,2015
murch,11984592.21875,2016
murch,5692681.0,2017
nalle,6300170.5625,2014
nalle,4402439.66015625,2015
nalle,9386882.037109375,2016
nalle,4589598.0,2017
noyes,6893795.75,2014
noyes,4476541.0,2015
noyes,6842275.3203125,2016
noyes,3301360.0,2017
orr,6834173.1875,2014
orr,4072997.87890625,2015
orr,9026511.8828125,2016
orr,4941263.0,2017
oyster adams,15656864.375,2014
oyster adams,8589387.0,2015
oyster adams,16505914.1875,2016
oyster adams,8171881.0,2017
patterson,7755184.875,2014
patterson,4991531.4716796875,2015
patterson,10000778.609375,2016
patterson,5470958.0,2017
payne,4992412.375,2014
payne,4027728.0,2015
payne,8589652.681640625,2016
payne,4294371.0,2017
peabody,4971910.0625,2014
peabody,2539115.6796875,2015
peabody,4900184.0673828125,2016
peabody,2499346.0,2017
phelps,9084852.625,2014
phelps ace,4236958.0,2015
phelps ace,8835779.8828125,2016
"phelps architecture, construction and engineering",4196996.0,2017
plummer,4953560.6875,2014
plummer,5063442.46484375,2015
plummer,10843364.90625,2016
plummer,5156682.0,2017
powell,9824145.25,2014
powell,6298306.03125,2015
powell,13538942.546875,2016
powell,6798461.0,2017
randle hlands,7804584.25,2014
randle hlands,3980763.51171875,2015
randle hlands,8240200.029296875,2016
randle hlands,4018149.0,2017
raymond,10229448.25,2014
raymond,7120552.671875,2015
raymond,14955645.796875,2016
raymond,7576612.0,2017
river terrace,4068472.0,2017
river terrace special education center,7412682.01171875,2016
roosevelt,12032190.0,2014
roosevelt,6071327.0,2015
roosevelt,15648414.125,2016
roosevelt,9117002.0,2017
roosevelt stay,4300968.9375,2014
roosevelt stay,3449325.09375,2015
roosevelt stay,6611193.9609375,2016
roosevelt stay,3811013.0,2017
ross,3477898.78125,2014
ross,2022618.19921875,2015
ross,4238364.5,2016
ross,2103681.0,2017
savoy,6982296.1875,2014
savoy,4592820.30078125,2015
savoy,9272923.958984375,2016
savoy,4404639.0,2017
school within school,2964693.0,2015
school within school,6594700.0,2016
school within school,3815456.0,2017
school within school ,3097452.6875,2014
school without walls,9498580.21875,2014
school without walls,10117563.46484375,2015
school without walls,22106057.9921875,2016
school without walls,10736391.0,2017
seaton,6561506.9375,2014
seaton,4254929.3203125,2015
seaton,9881305.8046875,2016
seaton,4870841.0,2017
sharpe,5960121.125,2014
sharpe health school,2410056.6796875,2015
shepherd,6143232.875,2014
shepherd,3353560.98046875,2015
shepherd,6518293.6376953125,2016
shepherd,3653973.0,2017
simon,4674582.875,2014
simon,3424834.33984375,2015
simon,6833348.49609375,2016
simon,3441958.0,2017
smothers,5470084.625,2014
smothers,3723914.1044921875,2015
smothers,7542783.9453125,2016
smothers,3842604.0,2017
sousa,7205472.625,2014
sousa,3712780.0,2015
sousa,7054282.394042969,2016
sousa,3473232.0,2017
stanton,7160738.4375,2014
stanton,5958525.6201171875,2015
stanton,11507278.681640625,2016
stanton,5496878.0,2017
stoddert,6996209.875,2014
stoddert,4150196.0,2015
stoddert,8509627.0,2016
stoddert,4333567.0,2017
stuart hobson,7731580.8125,2014
stuart hobson,8899894.047851562,2016
stuart hobson,4424768.0,2017
stuart hobson ,4436156.6396484375,2015
takoma,7780056.8125,2014
takoma,6328652.888671875,2015
takoma,12146247.4375,2016
takoma,6192923.0,2017
thomas,6708280.5,2014
thomas,4970485.6201171875,2015
thomas,10279368.931640625,2016
thomas,5378993.0,2017
thomson,7768363.625,2014
thomson,4054055.671875,2015
thomson,8148757.9921875,2016
thomson,3916753.0,2017
truesdell,9666251.25,2014
truesdell,6965627.46484375,2015
truesdell,15127508.05859375,2016
truesdell,7775938.0,2017
tubman,11523550.875,2014
tubman,6703592.171875,2015
tubman,13018436.578125,2016
tubman,7060475.0,2017
turner,6745676.4375,2014
turner,4717028.3203125,2015
turner,10397480.109375,2016
turner,5712171.0,2017
tyler,11095159.625,2014
tyler,6370073.1953125,2015
tyler,12642060.65234375,2016
tyler,6274522.0,2017
van ness,3598418.5,2016
van ness,1947151.0,2017
walker jones,10507475.625,2014
walker jones,6207129.03125,2015
walker jones,12359677.953125,2016
walker jones,6139523.0,2017
washington metropolitan,4548008.5625,2014
washington metropolitan,7133321.90625,2016
washington metropolitan,3599053.0,2017
washington metropolitan ,3754316.6796875,2015
watkins,9239939.75,2014
watkins,4752281.9365234375,2015
watkins,9217560.6640625,2016
watkins,4378341.0,2017
west,5278883.875,2014
west,3648374.46484375,2015
west,7711848.25,2016
