CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1611760130062.0,Alameda,Fremont Unified,American High,Fremont,N,N,N,37.563645,-122.01747,Y,0.214,0.0013636363636363,0.2904545454545454,0.005,0.055,0.0513636363636363,0.0186363636363636,0.0777272727272727,0.0009090909090909,0.28,0.0031818181818181,0.055,0.0477272727272727,0.0204545454545454,0.0645454545454545
1611760130138.0,Alameda,Fremont Unified,Robertson High (Continuation),Fremont,N,N,N,37.518632,-121.96492,Y,0.595,0.0,0.0745341614906832,0.0124223602484472,0.031055900621118,0.2919254658385093,0.0434782608695652,0.1180124223602484,0.0,0.0248447204968944,0.0,0.0186335403726708,0.2484472049689441,0.0372670807453416,0.0869565217391304
1611760130435.0,Alameda,Fremont Unified,Vista Alternative,Fremont,N,Y,N,37.518632,-121.96492,Y,0.231,0.0,0.032258064516129,0.0,0.0,0.1290322580645161,0.032258064516129,0.1935483870967742,0.032258064516129,0.032258064516129,0.064516129032258,0.032258064516129,0.1935483870967742,0.064516129032258,0.1612903225806451
1611760134270.0,Alameda,Fremont Unified,Irvington High,Fremont,N,N,Y,37.522654,-121.96902,Y,0.159,0.0008892841262783,0.3357047576700755,0.0022232103156958,0.0208981769675411,0.0466874166296131,0.0057803468208092,0.0702534459759893,0.0013339261894175,0.3361493997332148,0.002667852378835,0.0271231658514895,0.0529124055135615,0.0111160515784793,0.0702534459759893
1611760134452.0,Alameda,Fremont Unified,John F. Kennedy High,Fremont,N,N,N,37.528399,-121.98312,Y,0.433,0.0043321299638989,0.1212996389891696,0.0057761732851985,0.0577617328519855,0.179783393501805,0.0252707581227436,0.1169675090252707,0.0007220216606498,0.1176895306859205,0.0108303249097472,0.0512635379061371,0.155956678700361,0.0231046931407942,0.1054151624548736
1611760135244.0,Alameda,Fremont Unified,Mission San Jose High,Fremont,N,N,Y,37.545040,-121.93193,Y,0.0406,0.00099850224663,0.4842735896155766,0.000499251123315,0.0064902646030953,0.0089865202196704,0.0019970044932601,0.0244633050424363,0.000499251123315,0.4253619570644034,0.000499251123315,0.0074887668497254,0.0069895157264103,0.001497753369945,0.0249625561657513
1611760138693.0,Alameda,Fremont Unified,Washington High,Fremont,N,N,N,37.552082,-121.99484,Y,0.288,0.0010542962572482,0.1887190300474433,0.0031628887717448,0.0411175540326831,0.1217712177121771,0.0216130732735898,0.1228255139694254,0.0010542962572482,0.1723774380600949,0.0021085925144965,0.0411175540326831,0.1049024775962045,0.0189773326304691,0.1244069583552978
1611920108670.0,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Hayward,Y,N,N,37.624193,-122.08790,Y,0.604,0.0,0.060553633217993,0.0017301038062283,0.0449826989619377,0.3667820069204152,0.0242214532871972,0.0103806228373702,0.0,0.0311418685121107,0.0224913494809688,0.0397923875432525,0.3408304498269896,0.0190311418685121,0.0121107266435986
1611920127944.0,Alameda,Hayward Unified,Hayward Twin Oaks Montessori,Hayward,Y,N,N,37.661940,-122.07446,Y,0.529,0.0,0.0319148936170212,0.0,0.0319148936170212,0.2446808510638297,0.0159574468085106,0.1276595744680851,0.0106382978723404,0.0212765957446808,0.0,0.0053191489361702,0.3085106382978723,0.0478723404255319,0.0957446808510638
1611920133009.0,Alameda,Hayward Unified,Brenkwitz High,Hayward,N,N,N,37.671956,-122.09895,Y,0.801,0.0,0.015,0.035,0.02,0.365,0.075,0.1,0.0,0.01,0.015,0.0,0.245,0.05,0.04
