CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
1612590130146,Alameda,Oakland Unified,Rudsdale Continuation High,Oakland,N,Continuation High Schools,N,N,37.766251,-122.15439
1612590130179,Alameda,Oakland Unified,Street Academy Alternative High,Oakland,N,Alternative Schools of Choice,N,N,37.817842,-122.26548
1612590132688,Alameda,Oakland Unified,Dewey Academy High,Oakland,N,Continuation High Schools,N,N,37.796705,-122.25817
1612590135905,Alameda,Oakland Unified,Oakland High,Oakland,N,High Schools (Public),N,N,37.805290,-122.23652
1612590136051,Alameda,Oakland Unified,Oakland Technical High,Oakland,N,High Schools (Public),N,N,37.831725,-122.25413
1612590137943,Alameda,Oakland Unified,Skyline High,Oakland,N,High Schools (Public),N,N,37.797495,-122.16360
1612750130286,Alameda,Piedmont City Unified,Millennium High Alternative,Piedmont,N,Continuation High Schools,N,N,37.822804,-122.23393
1612750136515,Alameda,Piedmont City Unified,Piedmont High,Piedmont,N,High Schools (Public),N,N,37.823674,-122.23290
1612910134528,Alameda,San Leandro Unified,Lincoln High (Continuation),San Leandro,N,Continuation High Schools,N,N,37.708315,-122.15987
1612910137588,Alameda,San Leandro Unified,San Leandro High,San Leandro,N,High Schools (Public),N,N,37.717128,-122.14256
1613090111799,Alameda,San Lorenzo Unified,East Bay Arts High,San Lorenzo,N,Alternative Schools of Choice,N,N,37.688571,-122.12252
1613090114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,San Lorenzo,Y,High Schools (Public),N,N,37.674319,-122.15009
1613090130849,Alameda,San Lorenzo Unified,Arroyo High,San Lorenzo,N,High Schools (Public),N,N,37.680810,-122.13836
1613090137745,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),Hayward,N,Continuation High Schools,N,N,37.668976,-122.11506
1613090137810,Alameda,San Lorenzo Unified,San Lorenzo High,San Lorenzo,N,High Schools (Public),N,N,37.686688,-122.12256
1740050195016,Alameda,Tri-Valley ROP,Tri-Valley ROP,Livermore,N,ROC/ROP,No Data,No Data,37.669078,-121.77403
1740130195024,Alameda,Eden Area ROP,Eden Area ROP,Hayward,N,ROC/ROP,No Data,No Data,37.634543,-122.09874
1740210195032,Alameda,Mission Valley ROC/P,Mission Valley ROCP,Fremont,N,ROC/ROP,No Data,No Data,37.527997,-121.98347
1750930132704,Alameda,Dublin Unified,Dublin High,Dublin,N,High Schools (Public),N,N,37.720996,-121.92639
1750930138164,Alameda,Dublin Unified,Dublin Unified Transition Program,Dublin,N,Special Education Schools (Public),N,N,37.709575,-121.92108
1750930138453,Alameda,Dublin Unified,Valley High (Continuation),Dublin,N,Continuation High Schools,N,N,37.720977,-121.92164
1751010130096,Alameda,Pleasanton Unified,Foothill High,Pleasanton,N,High Schools (Public),C,N,37.671579,-121.91994
1751010130252,Alameda,Pleasanton Unified,Village High,Pleasanton,N,Continuation High Schools,C,N,37.655190,-121.87514
1751010130583,Alameda,Pleasanton Unified,Amador Valley High,Pleasanton,N,High Schools (Public),C,N,37.668296,-121.87327
1771800138289,Alameda,SBE - Latitude 37.8 High,Latitude 37.8 High,Oakland,Y,High Schools In 1 School Dist. (Public),N,N,37.777138,-122.23001
2100250230011,Alpine,Alpine County Office of Education,Alpine County Opportunity,Markleeville,N,Opportunity Schools,V,N,38.766195,-119.80692
2613330230029,Alpine,Alpine County Unified,Alpine County Secondary Community Day,Markleeville,N,District Community Day Schools,V,N,38.766357,-119.80885
