CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
19647330114850,Los Angeles,Los Angeles Unified,West Adams Preparatory High,Los Angeles,N,High Schools (Public),C,N,34.040010,-118.28968
19647330115253,Los Angeles,Los Angeles Unified,Discovery Charter Preparatory #2,Sylmar,Y,High Schools (Public),N,N,34.319080,-118.42517
19647330116509,Los Angeles,Los Angeles Unified,Alliance Morgan McKinzie High,Los Angeles,Y,High Schools (Public),N,N,34.035647,-118.18775
19647330116954,Los Angeles,Los Angeles Unified,Jack London Community Day,Valley Glen,N,District Community Day Schools,N,N,34.178640,-118.41526
19647330117051,Los Angeles,Los Angeles Unified,Edward R. Roybal Learning Center,Los Angeles,N,High Schools (Public),N,N,34.061984,-118.25456
19647330117069,Los Angeles,Los Angeles Unified,Helen Bernstein High,Hollywood,N,High Schools (Public),N,N,34.095068,-118.31357
19647330117077,Los Angeles,Los Angeles Unified,APEX Academy,Los Angeles,Y,High Schools (Public),N,N,34.052234,-118.24368
19647330117598,Los Angeles,Los Angeles Unified,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles,Y,High Schools (Public),N,N,33.960830,-118.29403
19647330117606,Los Angeles,Los Angeles Unified,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles,Y,High Schools (Public),N,N,34.113837,-118.24692
19647330117622,Los Angeles,Los Angeles Unified,Magnolia Science Academy 4,Los Angeles,Y,K-12 Schools (Public),C,N,34.029816,-118.43558
19647330117721,Los Angeles,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,Los Angeles,N,High Schools (Public),N,N,34.058064,-118.26170
19647330117747,Los Angeles,Los Angeles Unified,Los Angeles High School of the Arts,Los Angeles,N,High Schools (Public),N,N,34.059692,-118.29547
19647330117762,Los Angeles,Los Angeles Unified,School for the Visual Arts and Humanities,Los Angeles,N,High Schools (Public),C,N,34.059692,-118.29547
19647330117911,Los Angeles,Los Angeles Unified,New Millennium Secondary,Gardena,Y,High Schools (Public),N,N,33.867246,-118.29473
19647330118588,Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,Los Angeles,Y,High Schools (Public),N,N,33.934867,-118.26893
19647330119727,Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles,N,High Schools (Public),N,N,34.059537,-118.24492
19647330119966,Los Angeles,Los Angeles Unified,Felicitas and Gonzalo Mendez High,Los Angeles,N,High Schools (Public),N,N,34.048813,-118.22762
19647330120360,Los Angeles,Los Angeles Unified,Daniel Pearl Journalism & Communications Magnet,Lake Balboa,N,Alternative Schools of Choice,C,Y,34.191306,-118.50188
19647330120808,Los Angeles,Los Angeles Unified,Dorothy V. Johnson Community Day,Los Angeles,N,District Community Day Schools,C,N,33.939063,-118.24381
19647330121285,Los Angeles,Los Angeles Unified,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles,Y,High Schools (Public),N,N,33.938494,-118.23874
19647330121293,Los Angeles,Los Angeles Unified,Alliance Tennenbaum Family Technology High,Los Angeles,Y,High Schools (Public),N,N,34.102260,-118.23739
19647330122333,Los Angeles,Los Angeles Unified,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles,N,Alternative Schools of Choice,N,Y,34.039171,-118.21119
19647330122341,Los Angeles,Los Angeles Unified,Esteban Torres East LA Performing Arts Magnet,Los Angeles,N,Alternative Schools of Choice,N,Y,34.041554,-118.17547
19647330122358,Los Angeles,Los Angeles Unified,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles,N,High Schools (Public),N,N,34.041554,-118.17547
19647330122366,Los Angeles,Los Angeles Unified,Social Justice Leadership Academy Magnet at Esteban E. Torres High No 5,Los Angeles,N,Alternative Schools of Choice,N,N,34.041554,-118.17547
19647330122374,Los Angeles,Los Angeles Unified,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles,N,High Schools (Public),N,N,34.041554,-118.17547
19647330122382,Los Angeles,Los Angeles Unified,Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles,N,High Schools (Public),C,N,34.041554,-118.17547
19647330122606,Los Angeles,Los Angeles Unified,PUC Lakeview Charter High,Sylmar,Y,High Schools (Public),N,N,34.314190,-118.45976
19647330123133,Los Angeles,Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,Los Angeles,Y,High Schools (Public),N,N,34.072368,-118.22022
19647330123141,Los Angeles,Los Angeles Unified,Alliance Ted K. Tajima High,Los Angeles,Y,High Schools (Public),N,N,34.063479,-118.26153
19647330124362,Los Angeles,Los Angeles Unified,Valley Academy of Arts and Sciences,Granada Hills,N,High Schools (Public),N,N,34.260352,-118.50353
19647330124370,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,San Fernando,N,Alternative Schools of Choice,C,Y,34.288462,-118.42073
19647330124388,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,San Fernando,N,High Schools (Public),C,N,34.288462,-118.42073
19647330124396,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),San Fernando,N,High Schools (Public),N,N,34.288462,-118.42073
19647330124404,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,San Fernando,N,High Schools (Public),N,N,34.288462,-118.42073
19647330124479,Los Angeles,Los Angeles Unified,Dr. Maya Angelou Community High,Los Angeles,N,High Schools (Public),N,N,33.994220,-118.27010
19647330124487,Los Angeles,Los Angeles Unified,Public Service Community at Diego Rivera Learning Complex,Los Angeles,N,High Schools (Public),C,N,33.984122,-118.25611
19647330124495,Los Angeles,Los Angeles Unified,Communication and Technology at Diego Rivera Learning Complex,Los Angeles,N,High Schools (Public),N,N,33.984122,-118.25611
19647330124503,Los Angeles,Los Angeles Unified,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles,N,High Schools (Public),N,N,33.984122,-118.25611
19647330124511,Los Angeles,Los Angeles Unified,Performing Arts Community at Diego Rivera Learning Complex,Los Angeles,N,High Schools (Public),N,N,33.984122,-118.25611
19647330124560,Los Angeles,Los Angeles Unified,Synergy Quantum Academy,Los Angeles,Y,High Schools (Public),C,N,33.994220,-118.27010
19647330124891,Los Angeles,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,Los Angeles,Y,High Schools (Public),N,N,33.977090,-118.32575
19647330124933,Los Angeles,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles,Y,High Schools (Public),C,N,34.290459,-118.44949
19647330124941,Los Angeles,Los Angeles Unified,Alliance Margaret M. Bloomfield Technology Academy High,Huntington Park,Y,High Schools (Public),N,N,33.967152,-118.23061
19647330125864,Los Angeles,Los Angeles Unified,Ednovate - USC Hybrid High College Prep,Los Angeles,Y,High Schools (Public),N,N,34.013426,-118.29182
19647330125989,Los Angeles,Los Angeles Unified,STEM Academy at Bernstein High,Hollywood,N,High Schools (Public),C,N,34.095061,-118.31392
19647330126136,Los Angeles,Los Angeles Unified,Math and Science College Preparatory,Los Angeles,Y,High Schools (Public),N,N,34.032239,-118.31900
19647330126474,Los Angeles,Los Angeles Unified,Hilda L. Solis Learning Academy School of Technology Business and Education,Los Angeles,N,High Schools (Public),N,N,34.039104,-118.17138
19647330126482,Los Angeles,Los Angeles Unified,Augustus Hawkins High,Los Angeles,N,High Schools (Public),N,N,33.985536,-118.28800
19647330126516,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Huntington Park,N,High Schools (Public),N,N,33.981804,-118.23372
19647330126524,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High B LIBRA Academy,Huntington Park,N,High Schools (Public),N,N,33.981804,-118.23372
19647330126532,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High C School of Social Justice,Huntington Park,N,High Schools (Public),N,N,33.981804,-118.23372
19647330126540,Los Angeles,Los Angeles Unified,Science Technology Engineering Arts and Mathematics at Legacy High School Complex,South Gate,N,High Schools (Public),N,N,33.941328,-118.17894
19647330126557,Los Angeles,Los Angeles Unified,Visual and Performing Arts at Legacy High School Complex,South Gate,N,High Schools (Public),C,N,33.941328,-118.17894
19647330126573,Los Angeles,Los Angeles Unified,Mervyn M. Dymally High,Los Angeles,N,High Schools (Public),N,N,33.957150,-118.26875
19647330126615,Los Angeles,Los Angeles Unified,Academies of Education and Empowerment at Carson High,Carson,N,High Schools (Public),N,N,33.823923,-118.27585
19647330126623,Los Angeles,Los Angeles Unified,Academy of Medical Arts at Carson High,Carson,N,High Schools (Public),C,N,33.823923,-118.27585
19647330127787,Los Angeles,Los Angeles Unified,Humanities and Arts (HARTS) Academy of Los Angeles,Harbor City,N,High Schools (Public),C,N,33.804102,-118.30737
19647330127795,Los Angeles,Los Angeles Unified,Contreras Learning Center-School of Social Justice,Los Angeles,N,High Schools (Public),N,N,34.058179,-118.26087
19647330127803,Los Angeles,Los Angeles Unified,Early College Academy-LA Trade Tech College,Los Angeles,N,High Schools (Public),C,N,34.033179,-118.27006
19647330127894,Los Angeles,Los Angeles Unified,Valor Academy High,North Hills,Y,High Schools (Public),N,N,34.240804,-118.45851
19647330127910,Los Angeles,Los Angeles Unified,Camino Nuevo High #2,Los Angeles,Y,High Schools (Public),N,N,34.076443,-118.28550
19647330129536,Los Angeles,Los Angeles Unified,Boyle Heights Science Technology Engineering and Math Magnet,Los Angeles,N,Alternative Schools of Choice,C,Y,34.036473,-118.21230
19647330129585,Los Angeles,Los Angeles Unified,Nava College Preparatory Academy,Los Angeles,N,High Schools (Public),N,N,34.009547,-118.25116
19647330129627,Los Angeles,Los Angeles Unified,TEACH Tech Charter High,Los Angeles,Y,High Schools (Public),N,N,33.939400,-118.30879
19647330130997,Los Angeles,Los Angeles Unified,Sylmar Biotech Health and Engineering Magnet,Sylmar,N,Alternative Schools of Choice,N,Y,34.307364,-118.44288
19647330131821,Los Angeles,Los Angeles Unified,Collegiate Charter High School of Los Angeles,Los Angeles,Y,High Schools (Public),N,N,34.026000,-118.19331
19647330132027,Los Angeles,Los Angeles Unified,University Preparatory Value High,Los Angeles,Y,High Schools (Public),N,N,34.046778,-118.28094
19647330132126,Los Angeles,Los Angeles Unified,Bert Corona Charter High,Pacoima,Y,High Schools (Public),N,N,34.271259,-118.40597
19647330132282,Los Angeles,Los Angeles Unified,Ednovate - East College Prep,Los Angeles,Y,High Schools (Public),N,N,34.070120,-118.19968
19647330133868,Los Angeles,Los Angeles Unified,Rise Kohyang High,Los Angeles,Y,High Schools (Public),N,N,34.062428,-118.28217
19647330135632,Los Angeles,Los Angeles Unified,WISH Academy High,Los Angeles,Y,High Schools (Public),N,N,33.957763,-118.42888
19647330135715,Los Angeles,Los Angeles Unified,Ednovate - Esperanza College Prep,East Los Angeles,Y,High Schools (Public),N,N,34.038931,-118.17147
19647330135723,Los Angeles,Los Angeles Unified,Ednovate - Brio College Prep,Los Angeles,Y,High Schools (Public),N,N,34.053718,-118.25500
19647330137083,Los Angeles,Los Angeles Unified,University Pathways Medical Magnet Academy,Los Angeles,N,Alternative Schools of Choice,N,Y,33.932721,-118.26992
19647330137091,Los Angeles,Los Angeles Unified,University Pathways Public Service Academy,Los Angeles,N,High Schools (Public),N,N,33.961125,-118.24902
19647330137562,Los Angeles,Los Angeles Unified,Matrix for Success Academy,Los Angeles,Y,High Schools (Public),N,N,34.012475,-118.25769
19647330137612,Los Angeles,Los Angeles Unified,Valley International Preparatory High,Northridge,Y,High Schools (Public),N,N,34.221079,-118.54359
19647330139055,Los Angeles,Los Angeles Unified,Academy of Media Arts,Los Angeles,Y,High Schools (Public),C,N,34.054276,-118.25578
19647330140129,Los Angeles,Los Angeles Unified,Ednovate - South LA College Prep,Los Angeles,Y,High Schools (Public),N,N,34.048625,-118.25745
19647330141630,Los Angeles,Los Angeles Unified,Iovine and Young Center,Los Angeles,N,Alternative Schools of Choice,N,Y,34.009305,-118.32921
19647331930064,Los Angeles,Los Angeles Unified,William Tell Aggeler Opportunity High,Chatsworth,N,Opportunity Schools,N,N,34.242728,-118.59270
19647331930296,Los Angeles,Los Angeles Unified,Harris Newmark Continuation,Los Angeles,N,Continuation High Schools,C,N,34.061133,-118.26488
19647331930387,Los Angeles,Los Angeles Unified,Central High,Los Angeles,N,Continuation High Schools,C,N,34.031856,-118.25387
19647331930403,Los Angeles,Los Angeles Unified,Whitney Young Continuation,Los Angeles,N,Continuation High Schools,C,N,33.995062,-118.32638
19647331930429,Los Angeles,Los Angeles Unified,View Park Continuation,Los Angeles,N,Continuation High Schools,C,N,34.021550,-118.34783
19647331930486,Los Angeles,Los Angeles Unified,Moneta Continuation,Gardena,N,Continuation High Schools,N,N,33.867399,-118.29450
19647331930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,Huntington Park,N,Continuation High Schools,N,N,33.987203,-118.21718
19647331930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continuation,Los Angeles,N,Continuation High Schools,N,N,34.068919,-118.19751
19647331930619,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),Los Angeles,N,Opportunity Schools,C,N,34.061026,-118.27993
19647331930650,Los Angeles,Los Angeles Unified,Phineas Banning Senior High,Wilmington,N,High Schools (Public),N,Y,33.794038,-118.26080
19647331930692,Los Angeles,Los Angeles Unified,Thomas Riley High,Los Angeles,N,Alternative Schools of Choice,C,N,33.943214,-118.24771
19647331930734,Los Angeles,Los Angeles Unified,Angel's Gate (Continuation),San Pedro,N,Continuation High Schools,C,N,33.707853,-118.29285
19647331930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,Los Angeles,N,Continuation High Schools,C,N,33.996807,-118.44118
19647331930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,Tujunga,N,Continuation High Schools,C,N,34.259674,-118.30035
19647331930866,Los Angeles,Los Angeles Unified,Bell Senior High,Bell,N,High Schools (Public),N,Y,33.974658,-118.19031
19647331930924,Los Angeles,Los Angeles Unified,Belmont Senior High,Los Angeles,N,High Schools (Public),N,N,34.061222,-118.26301
19647331930940,Los Angeles,Los Angeles Unified,John R. Wooden High,Reseda,N,Continuation High Schools,C,N,34.212967,-118.54164
19647331930973,Los Angeles,Los Angeles Unified,Simon Rodia Continuation,South Gate,N,Continuation High Schools,C,N,33.942247,-118.22316
19647331931047,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Lake Balboa,Y,High Schools (Public),C,N,34.188953,-118.50490
19647331931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,Los Angeles,N,Continuation High Schools,C,N,34.035630,-118.39239
19647331931377,Los Angeles,Los Angeles Unified,Amelia Earhart Continuation,North Hollywood,N,Continuation High Schools,N,N,34.167840,-118.38782
19647331931385,Los Angeles,Los Angeles Unified,Albert Einstein Continuation,North Hills,N,Continuation High Schools,N,N,34.239189,-118.47934
19647331931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,Los Angeles,N,Continuation High Schools,C,N,34.117293,-118.20125
19647331931435,Los Angeles,Los Angeles Unified,Robert H. Lewis Continuation,Sun Valley,N,Continuation High Schools,N,N,34.225407,-118.40543
19647331931450,Los Angeles,Los Angeles Unified,Jack London Continuation,Van Nuys,N,Continuation High Schools,N,N,34.179367,-118.41441
19647331931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,Los Angeles,N,Continuation High Schools,N,N,34.034378,-118.23396
19647331931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Canoga Park,N,High Schools (Public),C,Y,34.195573,-118.60579
19647331931484,Los Angeles,Los Angeles Unified,Mission Continuation,San Fernando,N,Continuation High Schools,C,N,34.270238,-118.43980
19647331931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,Canoga Park,N,Continuation High Schools,C,N,34.196338,-118.60290
19647331931518,Los Angeles,Los Angeles Unified,George S. Patton Continuation,Harbor City,N,Continuation High Schools,C,N,33.802463,-118.30732
19647331931526,Los Angeles,Los Angeles Unified,Carson Senior High,Carson,N,High Schools (Public),C,N,33.823776,-118.27575
19647331931534,Los Angeles,Los Angeles Unified,Will Rogers Continuation,Van Nuys,N,Continuation High Schools,C,N,34.187703,-118.45334
19647331931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,Chatsworth,N,Continuation High Schools,N,N,34.252078,-118.58849
19647331931633,Los Angeles,Los Angeles Unified,Diane S. Leichman Career Preparatory and Transition Center,Reseda,N,Special Education Schools (Public),N,N,34.199229,-118.54785
19647331931682,Los Angeles,Los Angeles Unified,Zane Grey Continuation,Reseda,N,Continuation High Schools,N,N,34.190181,-118.53052
19647331931690,Los Angeles,Los Angeles Unified,Independence Continuation,Lake Balboa,N,Continuation High Schools,N,N,34.189853,-118.50223
19647331931708,Los Angeles,Los Angeles Unified,Chatsworth Charter High,Chatsworth,Y,High Schools (Public),N,N,34.252319,-118.58425
19647331931856,Los Angeles,Los Angeles Unified,Whitman Continuation,Los Angeles,N,Continuation High Schools,N,N,34.080254,-118.35930
19647331931864,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Reseda,Y,High Schools (Public),N,Y,34.218186,-118.54910
19647331931930,Los Angeles,Los Angeles Unified,Dan M. Issacs Avalon High,Wilmington,N,Continuation High Schools,C,N,33.791888,-118.26343
19647331931955,Los Angeles,Los Angeles Unified,Ellington (Duke) High (Continuation),Los Angeles,N,Continuation High Schools,N,N,33.935568,-118.30336
19647331931971,Los Angeles,Los Angeles Unified,John Hope Continuation,Los Angeles,N,Continuation High Schools,C,N,33.968185,-118.26726
19647331931989,Los Angeles,Los Angeles Unified,Monterey Continuation,Los Angeles,N,Continuation High Schools,C,N,34.028030,-118.15859
19647331931997,Los Angeles,Los Angeles Unified,Odyssey Continuation,South Gate,N,Continuation High Schools,N,N,33.954944,-118.21106
19647331932128,Los Angeles,Los Angeles Unified,Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles,N,Alternative Schools of Choice,N,Y,33.997541,-118.32929
19647331932250,Los Angeles,Los Angeles Unified,Henry David Thoreau Continuation,Woodland Hills,N,Continuation High Schools,C,N,34.168839,-118.56970
19647331932318,Los Angeles,Los Angeles Unified,Eagle Tree Continuation,Carson,N,Continuation High Schools,N,N,33.820934,-118.27547
19647331932334,Los Angeles,Los Angeles Unified,Jane Addams Continuation,Granada Hills,N,Continuation High Schools,C,N,34.273788,-118.48815
19647331932342,Los Angeles,Los Angeles Unified,Evergreen Continuation,Sylmar,N,Continuation High Schools,N,N,34.308134,-118.43768
19647331932383,Los Angeles,Los Angeles Unified,Susan Miller Dorsey Senior High,Los Angeles,N,High Schools (Public),N,Y,34.022994,-118.34610
19647331932540,Los Angeles,Los Angeles Unified,Eagle Rock High,Los Angeles,N,High Schools (Public),N,Y,34.133337,-118.20603
19647331932623,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Woodland Hills,Y,High Schools (Public),N,N,34.169285,-118.64335
19647331932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,Los Angeles,N,Continuation High Schools,C,N,34.037855,-118.21203
19647331932888,Los Angeles,Los Angeles Unified,Downtown Business High,Los Angeles,N,Alternative Schools of Choice,N,Y,34.062927,-118.25101
19647331932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,Los Angeles,N,High Schools (Public),N,Y,34.083741,-118.36072
19647331932987,Los Angeles,Los Angeles Unified,John H. Francis Polytechnic,Sun Valley,N,High Schools (Public),C,Y,34.221721,-118.40408
19647331933001,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,Los Angeles,N,Alternative Schools of Choice,C,Y,33.923831,-118.24620
19647331933118,Los Angeles,Los Angeles Unified,John C. Fremont Senior High,Los Angeles,N,High Schools (Public),N,Y,33.970022,-118.26944
19647331933241,Los Angeles,Los Angeles Unified,Gardena Senior High,Gardena,N,High Schools (Public),C,Y,33.866372,-118.29633
19647331933381,Los Angeles,Los Angeles Unified,James A. Garfield Senior High,Los Angeles,N,High Schools (Public),C,Y,34.025353,-118.15787
19647331933795,Los Angeles,Los Angeles Unified,Ulysses S. Grant Senior High,Van Nuys,N,High Schools (Public),C,Y,34.179356,-118.41580
19647331933852,Los Angeles,Los Angeles Unified,Alexander Hamilton Senior High,Los Angeles,N,High Schools (Public),C,Y,34.033458,-118.38969
19647331934033,Los Angeles,Los Angeles Unified,Hollywood Senior High,Los Angeles,N,High Schools (Public),N,Y,34.098357,-118.33872
19647331934157,Los Angeles,Los Angeles Unified,Huntington Park Senior High,Huntington Park,N,High Schools (Public),N,N,33.986707,-118.21921
19647331934371,Los Angeles,Los Angeles Unified,Thomas Jefferson Senior High,Los Angeles,N,High Schools (Public),C,N,34.009239,-118.25154
19647331934454,Los Angeles,Los Angeles Unified,Jordan High,Los Angeles,N,High Schools (Public),C,N,33.943161,-118.23129
19647331935121,Los Angeles,Los Angeles Unified,Abraham Lincoln Senior High,Los Angeles,N,High Schools (Public),C,Y,34.073873,-118.20386
19647331935352,Los Angeles,Los Angeles Unified,Los Angeles Senior High,Los Angeles,N,High Schools (Public),C,Y,34.056695,-118.33316
19647331935519,Los Angeles,Los Angeles Unified,Manual Arts Senior High,Los Angeles,N,High Schools (Public),C,Y,34.008208,-118.29160
19647331935568,Los Angeles,Los Angeles Unified,John Marshall Senior High,Los Angeles,N,High Schools (Public),N,Y,34.107762,-118.27756
19647331935717,Los Angeles,Los Angeles Unified,Joaquin Miller Career and Transition Center,Reseda,N,Special Education Schools (Public),N,N,34.219497,-118.54911
19647331935865,Los Angeles,Los Angeles Unified,James Monroe High,North Hills,N,High Schools (Public),N,Y,34.237885,-118.47637
19647331936160,Los Angeles,Los Angeles Unified,Nathaniel Narbonne Senior High,Harbor City,N,High Schools (Public),N,Y,33.804075,-118.30731
19647331936350,Los Angeles,Los Angeles Unified,North Hollywood Senior High,North Hollywood,N,High Schools (Public),N,Y,34.165883,-118.38782
19647331937085,Los Angeles,Los Angeles Unified,Ramona Opportunity High,Los Angeles,N,Opportunity Schools,C,N,34.038969,-118.19137
19647331937424,Los Angeles,Los Angeles Unified,Theodore Roosevelt Senior High,Los Angeles,N,High Schools (Public),C,N,34.039171,-118.21119
19647331937622,Los Angeles,Los Angeles Unified,San Fernando Senior High,San Fernando,N,High Schools (Public),N,Y,34.272472,-118.44210
19647331937838,Los Angeles,Los Angeles Unified,San Pedro Senior High,San Pedro,N,High Schools (Public),C,Y,33.730590,-118.29906
19647331938307,Los Angeles,Los Angeles Unified,South Gate Senior High,South Gate,N,High Schools (Public),N,N,33.954632,-118.20975
19647331938554,Los Angeles,Los Angeles Unified,Sylmar Charter High,Sylmar,Y,High Schools (Public),C,Y,34.307294,-118.44280
19647331938612,Los Angeles,Los Angeles Unified,Taft Charter High,Woodland Hills,Y,High Schools (Public),N,N,34.169390,-118.57103
19647331938885,Los Angeles,Los Angeles Unified,University High School Charter,Los Angeles,Y,High Schools (Public),N,N,34.045716,-118.46133
19647331938968,Los Angeles,Los Angeles Unified,Van Nuys Senior High,Van Nuys,N,High Schools (Public),C,Y,34.189555,-118.45314
19647331939040,Los Angeles,Los Angeles Unified,Venice Senior High,Los Angeles,N,High Schools (Public),C,Y,33.998856,-118.44283
19647331939107,Los Angeles,Los Angeles Unified,Verdugo Hills Senior High,Tujunga,N,High Schools (Public),N,Y,34.261842,-118.29798
19647331939305,Los Angeles,Los Angeles Unified,George Washington Preparatory High,Los Angeles,N,High Schools (Public),C,Y,33.937748,-118.30461
19647331939479,Los Angeles,Los Angeles Unified,WESM Health/Sports Medicine,Los Angeles,N,Alternative Schools of Choice,C,Y,33.959670,-118.42644
19647331939784,Los Angeles,Los Angeles Unified,Joseph Pomeroy Widney Career Preparatory and Transition Center,Los Angeles,N,Special Education Schools (Public),N,N,34.035908,-118.31326
19647331939859,Los Angeles,Los Angeles Unified,Woodrow Wilson Senior High,Los Angeles,N,High Schools (Public),N,Y,34.070754,-118.18616
19647331939941,Los Angeles,Los Angeles Unified,John F. Kennedy High,Granada Hills,N,High Schools (Public),N,Y,34.274661,-118.48845
19647331995448,Los Angeles,Los Angeles Unified,Francisco Bravo Medical Magnet High,Los Angeles,N,Alternative Schools of Choice,N,Y,34.057328,-118.20384
19647331995794,Los Angeles,Los Angeles Unified,Youth Opportunities Unlimited,Los Angeles,N,Alternative Schools of Choice,C,N,33.960085,-118.28960
19647331995836,Los Angeles,Los Angeles Unified,Palisades Charter High,Pacific Palisades,Y,High Schools (Public),C,Y,34.044632,-118.53330
19647331996073,Los Angeles,Los Angeles Unified,Tri-C Community Day,Los Angeles,N,District Community Day Schools,C,N,34.031856,-118.25387
19647336060495,Los Angeles,Los Angeles Unified,Benjamin Banneker Career and Transition Center,Los Angeles,N,Special Education Schools (Public),N,N,33.904893,-118.26956
19647336060503,Los Angeles,Los Angeles Unified,Ernest P. Willenberg Special Education Center,San Pedro,N,Special Education Schools (Public),N,N,33.741242,-118.30958
19647336060545,Los Angeles,Los Angeles Unified,Alfonso B. Perez Special Education Center,Los Angeles,N,Special Education Schools (Public),N,N,34.038721,-118.16827
19647740109538,Los Angeles,Lynwood Unified,Marco Antonio Firebaugh High,Lynwood,N,High Schools (Public),N,N,33.919941,-118.18320
19647740114777,Los Angeles,Lynwood Unified,Pathway Independent Study,Lynwood,N,Alternative Schools of Choice,N,N,33.925436,-118.20059
19647741935428,Los Angeles,Lynwood Unified,Vista High,Lynwood,N,Continuation High Schools,N,N,33.921461,-118.18054
19647741935436,Los Angeles,Lynwood Unified,Lynwood High,Lynwood,N,High Schools (Public),N,N,33.916375,-118.20414
19647901935899,Los Angeles,Monrovia Unified,Canyon Oaks High,Monrovia,N,Continuation High Schools,N,N,34.143169,-117.98553
19647901935923,Los Angeles,Monrovia Unified,Monrovia High,Monrovia,N,High Schools (Public),N,N,34.145754,-118.01708
19648080124552,Los Angeles,Montebello Unified,Applied Technology Center,Montebello,N,High Schools (Public),N,N,34.004214,-118.11649
19648081930155,Los Angeles,Montebello Unified,Schurr High,Montebello,N,High Schools (Public),N,N,34.030099,-118.12476
19648081930825,Los Angeles,Montebello Unified,Bell Gardens High,Bell Gardens,N,High Schools (Public),N,N,33.975649,-118.15427
19648081935998,Los Angeles,Montebello Unified,Montebello High,Montebello,N,High Schools (Public),N,N,34.015220,-118.12288
19648081938927,Los Angeles,Montebello Unified,Vail High (Continuation),Montebello,N,Continuation High Schools,N,N,33.994630,-118.12885
19648081996388,Los Angeles,Montebello Unified,Montebello Community Day,Montebello,N,District Community Day Schools,N,N,34.009452,-118.10843
19648401933647,Los Angeles,Norwalk-La Mirada Unified,John H. Glenn High,Norwalk,N,High Schools (Public),N,N,33.908190,-118.05530
19648401934728,Los Angeles,Norwalk-La Mirada Unified,La Mirada High,La Mirada,N,High Schools (Public),N,N,33.908381,-118.00420
19648401936467,Los Angeles,Norwalk-La Mirada Unified,Norwalk High,Norwalk,N,High Schools (Public),N,N,33.908484,-118.09121
19648401936475,Los Angeles,Norwalk-La Mirada Unified,El Camino High (Continuation),La Mirada,N,Continuation High Schools,C,N,33.898969,-117.98928
19648406021109,Los Angeles,Norwalk-La Mirada Unified,Ramona Head Start/State Preschool,Norwalk,N,Preschool,N,No Data,33.898542,-118.05099
19648651933308,Los Angeles,Palos Verdes Peninsula Unified,Rancho del Mar High (Continuation),Rolling Hills,N,Continuation High Schools,C,N,33.759971,-118.36126
19648651995588,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Peninsula High,Rolling Hills Estates,N,High Schools (Public),C,N,33.780654,-118.37375
19648651996552,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes High,Palos Verdes Estates,N,High Schools (Public),C,N,33.781629,-118.41946
19648730136705,Los Angeles,Paramount Unified,Odyssey STEM Academy,Lakewood,N,High Schools (Public),N,N,33.857195,-118.14814
