School Code,"Percent (%) 
Eligible FRPM 
(Ages 5-17)"
1100170112607,0.743
1100170123968,0.633
1100170124172,0.0924
1100170125567,0.275
1100170130401,1.0
1100170130419,0.799
1100170131581,0.953
1100176001788,0.397
1100176002000,0.84
1316090131755,1.0
1316170131763,0.928
1611190000001,0.214
1611190106401,0.212
1611190111765,0.648
1611190119222,0.313
1611190122085,0.346
1611190126656,0.277
1611190130229,0.187
1611190130609,0.239
1611190130625,0.972
1611190131805,0.451
1611190132142,0.405
1611190134304,0.361
1611196090005,0.265
1611196090013,0.113
1611196090021,0.146
1611196090039,0.157
1611196090047,0.536
1611196090054,0.139
1611196090112,0.455
1611196090120,0.469
1611196100374,0.0883
1611196110779,0.0926
1611270000001,0.0
1611270130294,0.429
1611270130450,0.178
1611276090146,0.112
1611276090161,0.153
1611276095376,0.119
1611276116222,0.293
1611430000001,0.167
1611430122689,0.703
1611430122697,0.669
1611430131177,0.275
1611430134924,0.635
1611436056857,0.262
1611436056865,0.409
1611436090187,0.256
1611436090195,0.343
1611436090211,0.378
1611436090252,0.292
1611436090278,0.406
1611436090286,0.254
1611436090294,0.588
1611436090302,0.349
1611436090310,0.457
1611436090328,0.333
1611436097729,0.318
1611436105316,0.397
1611500000001,0.273
1611500130047,0.0
1611500132225,0.217
1611500133876,0.0
1611500135533,0.363
1611506090351,0.44
1611506090369,0.209
1611506090385,0.227
1611506090393,0.159
1611506090401,0.339
1611506090419,0.112
1611506090435,0.151
1611506090468,0.315
1611506090484,0.147
1611506097653,0.225
1611506113005,0.0635
1611680000001,0.5
1611680132746,0.695
1611686090492,0.706
1611760000001,0.188
1611760127233,1.0
1611760130062,0.162
1611760130138,0.434
1611760130435,0.3
1611760130534,0.164
1611760134270,0.118
1611760134452,0.376
1611760135244,0.0347
1611760138693,0.221
1611766000541,0.396
1611766000558,0.378
1611766000566,0.464
1611766000590,0.466
1611766000624,0.312
1611766000640,0.223
1611766000665,0.322
1611766000673,0.0229
1611766000681,0.209
1611766000715,0.221
1611766000723,0.127
1611766000749,0.0665
1611766000756,0.102
1611766000764,0.203
1611766000798,0.0726
1611766000806,0.254
1611766000830,0.228
1611766000848,0.0586
1611766056873,0.281
1611766056881,0.424
1611766056907,0.118
1611766056915,0.161
1611766056923,0.0483
1611766066468,0.0485
1611766089320,0.108
1611766089619,0.15
1611766090526,0.0483
1611766090534,0.0275
1611766090542,0.167
1611766090559,0.224
1611766104723,0.0589
1611766106983,0.0476
1611766111330,0.0376
1611920000001,0.255
1611920108670,0.592
1611920111815,0.49
1611920113902,0.611
1611920119248,0.385
1611920127696,0.648
1611920127944,0.489
1611920131334,0.714
1611920133009,0.607
1611920133629,0.657
1611920135319,0.614
1611920138339,0.76
1611926000889,0.721
1611926000905,0.706
1611926000913,0.818
1611926000921,0.546
1611926000947,0.725
1611926000962,0.7
1611926000988,0.847
1611926000996,0.795
1611926001044,0.803
1611926001051,0.584
1611926001093,0.707
1611926001101,0.734
1611926001127,0.676
1611926001135,0.794
1611926001176,0.538
1611926001192,0.663
1611926056931,0.586
1611926056949,0.817
1611926056956,0.674
1611926056972,0.79
1611926062160,0.744
1611926066476,0.736
1611926090583,0.557
1611926104566,0.88
1611926113815,0.689
1612000000001,0.0
1612000107839,0.0799
1612000120931,0.158
1612000130393,0.224
1612000132670,0.564
1612000133397,0.157
1612000134536,0.201
1612006001234,0.678
1612006001242,0.309
1612006001259,0.0826
1612006001283,0.428
1612006001291,0.262
1612006001317,0.825
1612006001341,0.0962
1612006071906,0.231
1612006085773,0.166
1612006089338,0.213
1612006097661,0.0642
1612006110332,0.222
1612006117543,0.181
